0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82
"(1855, 153.0, 0.63338)","(1855, 153.0, 0.63302)","(1855, 153.0, 0.63338)","(1855, 153.0, 0.63286)","(1855, 153.0, 0.63302)","(7287, 153.0, 0.30066)","(7287, 153.0, 0.30099)","(1855, 153.0, 0.63286)","(6979, 153.0, 0.53464)","(1855, 153.0, 0.63302)","(6731, 153.0, 0.43476)","(1855, 153.0, 0.63302)","(1855, 153.0, 0.63338)","(1855, 153.0, 0.63302)","(1855, 153.0, 0.63302)","(1855, 153.0, 0.63286)","(7287, 153.0, 0.30099)","(7287, 153.0, 0.30011)","(1855, 153.0, 0.63302)","(462, 153.0, 0.87805)","(462, 153.0, 0.87449)","(462, 153.0, 0.87841)","(1855, 153.0, 0.63173)","(1291, 153.0, 1.42111)","(1291, 153.0, 1.4221)","(1855, 153.0, 0.63173)","(1855, 153.0, 0.63286)","(1855, 153.0, 0.63286)","(1855, 153.0, 0.63173)","(1855, 153.0, 0.63286)","(7287, 153.0, 0.30066)","(1855, 153.0, 0.63302)","(1855, 153.0, 0.63302)","(7277, 153.0, 0.30351)","(7277, 153.0, 0.30502)","(7277, 153.0, 0.30351)","(3096, 153.0, 0.88806)","(1855, 153.0, 0.63173)","(1855, 153.0, 0.63302)","(1291, 153.0, 1.42111)","(1291, 153.0, 1.41841)","(1855, 153.0, 0.63173)","(1855, 153.0, 0.63302)","(7277, 153.0, 0.30413)","(3096, 153.0, 0.89303)","(1855, 153.0, 0.63286)","(1855, 153.0, 0.63338)","(6979, 153.0, 0.53464)","(6731, 153.0, 0.44102)","(6731, 153.0, 0.44102)","(6731, 153.0, 0.43476)","(1855, 153.0, 0.63286)","(3096, 153.0, 0.89303)","(6731, 153.0, 0.44102)","(1291, 153.0, 1.42231)","(6731, 153.0, 0.44102)","(6731, 153.0, 0.44031)","(1855, 153.0, 0.63173)","(6979, 153.0, 0.53929)","(908, 153.0, 0.33879)","(6979, 153.0, 0.53909)","(1855, 153.0, 0.63173)","(462, 153.0, 0.87805)","(3572, 153.0, 0.68807)","(1297, 153.0, 0.84668)","(1855, 153.0, 0.63302)","(3882, 153.0, 0.25741)","(6942, 153.0, 0.62871)","(7277, 153.0, 0.30502)","(1855, 153.0, 0.63286)","(6979, 153.0, 0.53464)","(7277, 153.0, 0.30502)","(462, 153.0, 0.87841)","(7277, 153.0, 0.30351)","(3572, 153.0, 0.68237)","(7176, 153.0, 0.63957)","(2960, 153.0, 0.57259)","(1855, 153.0, 0.63338)","(3226, 153.0, 0.9514)","(319, 153.0, 0.31976)","(6736, 153.0, 0.86104)","(7162, 153.0, 0.40648)","(6946, 153.0, 0.41797)"
"(462, 152.0, 0.87805)","(462, 152.0, 0.87841)","(6979, 152.0, 0.5392)","(462, 152.0, 0.87866)","(462, 152.0, 0.87841)","(6164, 152.0, 0.33683)","(6164, 152.0, 0.33962)","(6731, 152.0, 0.44102)","(6164, 152.0, 0.34254)","(6731, 152.0, 0.44031)","(3697, 152.0, 0.87902)","(462, 152.0, 0.87841)","(462, 152.0, 0.87805)","(462, 152.0, 0.87841)","(462, 152.0, 0.87841)","(7277, 152.0, 0.30502)","(1855, 152.0, 0.63338)","(1855, 152.0, 0.63173)","(7277, 152.0, 0.30413)","(6164, 152.0, 0.33962)","(6164, 152.0, 0.34254)","(6164, 152.0, 0.33793)","(6731, 152.0, 0.43476)","(6979, 152.0, 0.5392)","(6979, 152.0, 0.53909)","(462, 152.0, 0.87449)","(462, 152.0, 0.87866)","(462, 152.0, 0.87866)","(462, 152.0, 0.87449)","(462, 152.0, 0.87866)","(1855, 152.0, 0.63286)","(7287, 152.0, 0.30052)","(462, 152.0, 0.87841)","(6164, 152.0, 0.33962)","(3697, 152.0, 0.88486)","(3697, 152.0, 0.88364)","(3226, 152.0, 0.94679)","(462, 152.0, 0.87449)","(7287, 152.0, 0.30052)","(6731, 152.0, 0.43964)","(6731, 152.0, 0.43476)","(462, 152.0, 0.87449)","(462, 152.0, 0.87841)","(3096, 152.0, 0.89303)","(462, 152.0, 0.87841)","(7287, 152.0, 0.30066)","(7287, 152.0, 0.30099)","(462, 152.0, 0.87449)","(3697, 152.0, 0.88486)","(3697, 152.0, 0.88486)","(3697, 152.0, 0.87902)","(462, 152.0, 0.87866)","(1651, 152.0, 0.9992)","(7277, 152.0, 0.30502)","(462, 152.0, 0.87866)","(3697, 152.0, 0.88486)","(3697, 152.0, 0.88435)","(462, 152.0, 0.87449)","(6950, 152.0, 0.51308)","(7242, 152.0, 0.49075)","(1855, 152.0, 0.63302)","(462, 152.0, 0.87449)","(3096, 152.0, 0.89167)","(7279, 152.0, 0.91043)","(1603, 152.0, 1.08701)","(462, 152.0, 0.87841)","(517, 152.0, 0.85775)","(7277, 152.0, 0.30033)","(3697, 152.0, 0.88486)","(462, 152.0, 0.87866)","(6674, 152.0, 0.37431)","(6731, 152.0, 0.44102)","(1516, 152.0, 1.04045)","(4810, 152.0, 0.47233)","(99, 152.0, 0.69024)","(6785, 152.0, 0.3887)","(6787, 152.0, 0.1924)","(6164, 152.0, 0.33962)","(6419, 152.0, 1.11851)","(3872, 152.0, 0.54716)","(66, 152.0, 0.32143)","(1428, 152.0, 0.85038)","(3695, 152.0, 0.84215)"
"(7287, 151.0, 0.30099)","(7287, 151.0, 0.30052)","(462, 151.0, 0.87805)","(6731, 151.0, 0.44102)","(6731, 151.0, 0.44031)","(1855, 151.0, 0.63286)","(1855, 151.0, 0.63338)","(6979, 151.0, 0.53929)","(7287, 151.0, 0.30011)","(6979, 151.0, 0.53909)","(1272, 151.0, 0.91408)","(7287, 151.0, 0.30052)","(7287, 151.0, 0.30099)","(7287, 151.0, 0.30052)","(7287, 151.0, 0.30052)","(1603, 151.0, 1.08701)","(7277, 151.0, 0.30351)","(7277, 151.0, 0.30033)","(1603, 151.0, 1.08663)","(1855, 151.0, 0.63338)","(1855, 151.0, 0.63173)","(1855, 151.0, 0.63302)","(7287, 151.0, 0.30011)","(3096, 151.0, 0.89167)","(3096, 151.0, 0.89303)","(7287, 151.0, 0.30011)","(7287, 151.0, 0.30066)","(7287, 151.0, 0.30066)","(7287, 151.0, 0.30011)","(7287, 151.0, 0.30066)","(462, 151.0, 0.87866)","(6731, 151.0, 0.44031)","(7287, 151.0, 0.30052)","(3697, 151.0, 0.88364)","(462, 151.0, 0.87866)","(462, 151.0, 0.87805)","(462, 151.0, 0.87449)","(7287, 151.0, 0.30011)","(462, 151.0, 0.87841)","(3096, 151.0, 0.89167)","(3096, 151.0, 0.88806)","(7287, 151.0, 0.30011)","(7287, 151.0, 0.30052)","(7287, 151.0, 0.30052)","(7287, 151.0, 0.30052)","(462, 151.0, 0.87866)","(462, 151.0, 0.87805)","(3096, 151.0, 0.88806)","(6979, 151.0, 0.53929)","(6979, 151.0, 0.53929)","(6979, 151.0, 0.53464)","(3226, 151.0, 0.9514)","(462, 151.0, 0.87841)","(6164, 151.0, 0.33683)","(6731, 151.0, 0.44102)","(6164, 151.0, 0.33683)","(6164, 151.0, 0.33793)","(7287, 151.0, 0.30011)","(6164, 151.0, 0.33683)","(1481, 151.0, 0.39983)","(6731, 151.0, 0.44031)","(7287, 151.0, 0.30011)","(6979, 151.0, 0.5392)","(1855, 151.0, 0.63302)","(2202, 151.0, 0.43752)","(7287, 151.0, 0.30052)","(1418, 151.0, 0.50909)","(6950, 151.0, 0.51813)","(462, 151.0, 0.87866)","(7287, 151.0, 0.30066)","(1272, 151.0, 0.91408)","(6979, 151.0, 0.53929)","(6731, 151.0, 0.44031)","(3226, 151.0, 0.95054)","(5005, 151.0, 0.7043)","(1430, 151.0, 0.19744)","(4560, 151.0, 0.37642)","(6731, 151.0, 0.43964)","(7249, 151.0, 0.40727)","(199, 151.0, 0.40642)","(6456, 151.0, 0.25636)","(6753, 151.0, 0.22439)","(7265, 151.0, 0.34437)"
"(3226, 150.0, 0.95054)","(3226, 150.0, 0.95101)","(6164, 150.0, 0.33962)","(6979, 150.0, 0.53929)","(6979, 150.0, 0.53909)","(1272, 150.0, 0.91581)","(1272, 150.0, 0.91599)","(6164, 150.0, 0.33683)","(1291, 150.0, 1.41841)","(6164, 150.0, 0.33793)","(3226, 150.0, 0.94679)","(6979, 150.0, 0.53909)","(6164, 150.0, 0.33962)","(6979, 150.0, 0.53909)","(6164, 150.0, 0.33793)","(6979, 150.0, 0.53929)","(1603, 150.0, 1.08596)","(1603, 150.0, 1.08186)","(6979, 150.0, 0.53909)","(1291, 150.0, 1.42111)","(1291, 150.0, 1.41841)","(1291, 150.0, 1.4221)","(6164, 150.0, 0.34254)","(3226, 150.0, 0.95054)","(3226, 150.0, 0.95101)","(6164, 150.0, 0.34254)","(6164, 150.0, 0.33683)","(6731, 150.0, 0.44102)","(6731, 150.0, 0.43476)","(6164, 150.0, 0.33683)","(6164, 150.0, 0.33683)","(462, 150.0, 0.87841)","(6731, 150.0, 0.44031)","(7287, 150.0, 0.30099)","(3226, 150.0, 0.9514)","(3226, 150.0, 0.95054)","(6731, 150.0, 0.43476)","(6731, 150.0, 0.43476)","(6164, 150.0, 0.33793)","(3572, 150.0, 0.68679)","(3572, 150.0, 0.68237)","(6731, 150.0, 0.43476)","(6731, 150.0, 0.44031)","(6164, 150.0, 0.33793)","(6979, 150.0, 0.53909)","(6731, 150.0, 0.44102)","(6731, 150.0, 0.43964)","(6731, 150.0, 0.43476)","(6164, 150.0, 0.33683)","(6164, 150.0, 0.33683)","(6164, 150.0, 0.34254)","(6164, 150.0, 0.33683)","(1855, 150.0, 0.63302)","(6979, 150.0, 0.53929)","(3096, 150.0, 0.89375)","(6979, 150.0, 0.53929)","(6979, 150.0, 0.53909)","(6164, 150.0, 0.34254)","(7277, 150.0, 0.30502)","(332, 150.0, 0.47591)","(1291, 150.0, 1.4221)","(6731, 150.0, 0.43476)","(3226, 150.0, 0.95054)","(1516, 150.0, 1.04045)","(484, 150.0, 0.15897)","(6731, 150.0, 0.44031)","(7197, 150.0, 0.46451)","(6164, 150.0, 0.34254)","(3226, 150.0, 0.9514)","(6979, 150.0, 0.53929)","(2945, 150.0, 1.1198)","(7287, 150.0, 0.30066)","(6674, 150.0, 0.37461)","(7238, 150.0, 1.35578)","(6731, 150.0, 0.43476)","(3727, 150.0, 1.08152)","(1840, 150.0, 0.556)","(462, 150.0, 0.87805)","(2945, 150.0, 1.12429)","(6233, 150.0, 0.42511)","(6251, 150.0, 0.41829)","(6820, 150.0, 0.25244)","(390, 150.0, 0.36586)"
"(6164, 149.0, 0.33962)","(6164, 149.0, 0.33793)","(6731, 149.0, 0.43964)","(7287, 149.0, 0.30066)","(7287, 149.0, 0.30052)","(6979, 149.0, 0.53929)","(6979, 149.0, 0.5392)","(7287, 149.0, 0.30066)","(3226, 149.0, 0.94679)","(7287, 149.0, 0.30052)","(6164, 149.0, 0.34254)","(6731, 149.0, 0.44031)","(6731, 149.0, 0.43964)","(6164, 149.0, 0.33793)","(6731, 149.0, 0.44031)","(6419, 149.0, 1.11851)","(6979, 149.0, 0.5392)","(6979, 149.0, 0.53464)","(6419, 149.0, 1.11803)","(3096, 149.0, 0.89167)","(3096, 149.0, 0.88806)","(3096, 149.0, 0.89303)","(6979, 149.0, 0.53464)","(7287, 149.0, 0.30099)","(7287, 149.0, 0.30052)","(6731, 149.0, 0.43476)","(3226, 149.0, 0.9514)","(3226, 149.0, 0.9514)","(6164, 149.0, 0.34254)","(6979, 149.0, 0.53929)","(6979, 149.0, 0.53929)","(6164, 149.0, 0.33793)","(6979, 149.0, 0.53909)","(1272, 149.0, 0.91599)","(6979, 149.0, 0.53929)","(6979, 149.0, 0.5392)","(6979, 149.0, 0.53464)","(6164, 149.0, 0.34254)","(6731, 149.0, 0.44031)","(4400, 149.0, 0.58436)","(4400, 149.0, 0.58093)","(6979, 149.0, 0.53464)","(6979, 149.0, 0.53909)","(3226, 149.0, 0.95101)","(6731, 149.0, 0.44031)","(6164, 149.0, 0.33683)","(6164, 149.0, 0.33962)","(3226, 149.0, 0.94679)","(1272, 149.0, 0.91581)","(3226, 149.0, 0.9514)","(3226, 149.0, 0.94679)","(7287, 149.0, 0.30066)","(3538, 149.0, 0.24334)","(3226, 149.0, 0.9514)","(517, 149.0, 0.86057)","(1272, 149.0, 0.91581)","(1272, 149.0, 0.91606)","(6731, 149.0, 0.43476)","(1291, 149.0, 1.42231)","(4470, 149.0, 0.59445)","(7277, 149.0, 0.30413)","(6164, 149.0, 0.34254)","(6731, 149.0, 0.43964)","(1272, 149.0, 0.91606)","(6419, 149.0, 1.11851)","(3226, 149.0, 0.95101)","(5998, 149.0, 0.39717)","(462, 149.0, 0.87449)","(7287, 149.0, 0.30066)","(6731, 149.0, 0.44102)","(7287, 149.0, 0.30011)","(462, 149.0, 0.87866)","(6942, 149.0, 0.63357)","(4786, 149.0, 0.28091)","(6164, 149.0, 0.34254)","(5974, 149.0, 0.37013)","(1497, 149.0, 0.4274)","(7287, 149.0, 0.30099)","(3096, 149.0, 0.89375)","(6207, 149.0, 0.28658)","(2584, 149.0, 0.38562)","(5384, 149.0, 0.49252)","(5331, 149.0, 0.21493)"
"(1651, 148.0, 0.99837)","(1651, 148.0, 0.9992)","(7287, 148.0, 0.30099)","(1651, 148.0, 0.99976)","(1651, 148.0, 0.9992)","(462, 148.0, 0.87866)","(462, 148.0, 0.87805)","(1291, 148.0, 1.42231)","(462, 148.0, 0.87449)","(1291, 148.0, 1.4221)","(6979, 148.0, 0.53464)","(6164, 148.0, 0.33793)","(6979, 148.0, 0.5392)","(3226, 148.0, 0.95101)","(6979, 148.0, 0.53909)","(1351, 148.0, 0.23594)","(6419, 148.0, 1.11723)","(6419, 148.0, 1.11366)","(7279, 148.0, 0.91043)","(6731, 148.0, 0.43964)","(6731, 148.0, 0.43476)","(6731, 148.0, 0.44031)","(462, 148.0, 0.87449)","(6950, 148.0, 0.51361)","(6950, 148.0, 0.51322)","(6979, 148.0, 0.53464)","(6731, 148.0, 0.44102)","(6164, 148.0, 0.33683)","(6979, 148.0, 0.53464)","(6731, 148.0, 0.44102)","(6731, 148.0, 0.44102)","(6979, 148.0, 0.53909)","(6164, 148.0, 0.33793)","(6979, 148.0, 0.5392)","(7287, 148.0, 0.30066)","(7287, 148.0, 0.30099)","(1651, 148.0, 0.99459)","(6979, 148.0, 0.53464)","(3226, 148.0, 0.95101)","(7287, 148.0, 0.30099)","(7287, 148.0, 0.30011)","(3226, 148.0, 0.94679)","(3226, 148.0, 0.95101)","(1855, 148.0, 0.63302)","(6164, 148.0, 0.33793)","(6979, 148.0, 0.53929)","(6979, 148.0, 0.5392)","(6164, 148.0, 0.34254)","(7287, 148.0, 0.30066)","(462, 148.0, 0.87866)","(462, 148.0, 0.87449)","(6731, 148.0, 0.44102)","(6979, 148.0, 0.53909)","(1651, 148.0, 0.99976)","(6979, 148.0, 0.53929)","(462, 148.0, 0.87866)","(462, 148.0, 0.87841)","(6979, 148.0, 0.53464)","(7106, 148.0, 0.25964)","(3313, 148.0, 0.2853)","(3226, 148.0, 0.95101)","(6979, 148.0, 0.53464)","(6164, 148.0, 0.33962)","(462, 148.0, 0.87841)","(4810, 148.0, 0.47042)","(6979, 148.0, 0.53909)","(4400, 148.0, 0.58093)","(7287, 148.0, 0.30011)","(6979, 148.0, 0.53929)","(6164, 148.0, 0.33683)","(6942, 148.0, 0.62871)","(1651, 148.0, 0.99976)","(1855, 148.0, 0.63302)","(6936, 148.0, 0.37814)","(3226, 148.0, 0.94679)","(7209, 148.0, 0.48575)","(2365, 148.0, 0.29999)","(6979, 148.0, 0.5392)","(2987, 148.0, 1.23387)","(826, 148.0, 0.52867)","(3334, 148.0, 0.33328)","(5456, 148.0, 0.38444)","(2453, 148.0, 0.39828)"
"(6731, 147.0, 0.43964)","(6731, 147.0, 0.44031)","(3226, 147.0, 0.95054)","(3226, 147.0, 0.9514)","(3226, 147.0, 0.95101)","(6942, 147.0, 0.6345)","(6942, 147.0, 0.63235)","(3226, 147.0, 0.9514)","(6942, 147.0, 0.62871)","(3226, 147.0, 0.95101)","(462, 147.0, 0.87449)","(3226, 147.0, 0.95101)","(3226, 147.0, 0.95054)","(6731, 147.0, 0.44031)","(3226, 147.0, 0.95101)","(3096, 147.0, 0.89375)","(7279, 147.0, 0.90959)","(7279, 147.0, 0.90944)","(1351, 147.0, 0.23686)","(6950, 147.0, 0.51361)","(6950, 147.0, 0.51813)","(6950, 147.0, 0.51322)","(1651, 147.0, 0.99459)","(462, 147.0, 0.87805)","(462, 147.0, 0.87841)","(3226, 147.0, 0.94679)","(6979, 147.0, 0.53929)","(6979, 147.0, 0.53929)","(3226, 147.0, 0.94679)","(3226, 147.0, 0.9514)","(1651, 147.0, 0.99976)","(3226, 147.0, 0.95101)","(3226, 147.0, 0.95101)","(462, 147.0, 0.87805)","(1272, 147.0, 0.91581)","(1272, 147.0, 0.91599)","(1291, 147.0, 1.41841)","(1651, 147.0, 0.99459)","(6979, 147.0, 0.53909)","(7279, 147.0, 0.90959)","(7279, 147.0, 0.90944)","(6164, 147.0, 0.34254)","(6164, 147.0, 0.33793)","(6731, 147.0, 0.44031)","(3226, 147.0, 0.95101)","(1651, 147.0, 0.99976)","(1651, 147.0, 0.99837)","(1651, 147.0, 0.99459)","(462, 147.0, 0.87866)","(1272, 147.0, 0.91581)","(1272, 147.0, 0.91408)","(6979, 147.0, 0.53929)","(6164, 147.0, 0.33793)","(462, 147.0, 0.87866)","(7287, 147.0, 0.30066)","(3226, 147.0, 0.9514)","(3226, 147.0, 0.95101)","(1651, 147.0, 0.99459)","(5493, 147.0, 0.42993)","(5012, 147.0, 0.25175)","(1651, 147.0, 0.9992)","(3226, 147.0, 0.94679)","(1651, 147.0, 0.99837)","(6942, 147.0, 0.63357)","(1343, 147.0, 0.36428)","(6164, 147.0, 0.33793)","(7243, 147.0, 0.9699)","(1291, 147.0, 1.41841)","(6164, 147.0, 0.33683)","(3226, 147.0, 0.9514)","(879, 147.0, 1.4061)","(6164, 147.0, 0.33683)","(1651, 147.0, 0.9992)","(7279, 147.0, 0.90959)","(6936, 147.0, 0.37495)","(2945, 147.0, 1.12393)","(3757, 147.0, 0.40234)","(3226, 147.0, 0.95054)","(1230, 147.0, 1.00839)","(4322, 147.0, 0.26419)","(6867, 147.0, 0.61749)","(6660, 147.0, 0.78263)","(6817, 147.0, 0.25154)"
"(6979, 146.0, 0.5392)","(6979, 146.0, 0.53909)","(1651, 146.0, 0.99837)","(6164, 146.0, 0.33683)","(6164, 146.0, 0.33793)","(6731, 146.0, 0.44102)","(6731, 146.0, 0.43964)","(462, 146.0, 0.87866)","(1651, 146.0, 0.99459)","(462, 146.0, 0.87841)","(517, 146.0, 0.85775)","(1651, 146.0, 0.9992)","(1651, 146.0, 0.99837)","(1651, 146.0, 0.9992)","(1651, 146.0, 0.9992)","(6731, 146.0, 0.44102)","(1351, 146.0, 0.23773)","(1351, 146.0, 0.24085)","(3096, 146.0, 0.89303)","(517, 146.0, 0.85956)","(517, 146.0, 0.85775)","(517, 146.0, 0.86044)","(6942, 146.0, 0.62871)","(6942, 146.0, 0.63235)","(6942, 146.0, 0.63357)","(1651, 146.0, 0.99459)","(1651, 146.0, 0.99976)","(1651, 146.0, 0.99976)","(1651, 146.0, 0.99459)","(1651, 146.0, 0.99976)","(6942, 146.0, 0.6345)","(1651, 146.0, 0.9992)","(1651, 146.0, 0.9992)","(7279, 146.0, 0.90959)","(6164, 146.0, 0.33683)","(6164, 146.0, 0.33962)","(7287, 146.0, 0.30011)","(3226, 146.0, 0.94679)","(1651, 146.0, 0.9992)","(6942, 146.0, 0.63235)","(6942, 146.0, 0.62871)","(1651, 146.0, 0.99459)","(1651, 146.0, 0.9992)","(3538, 146.0, 0.24334)","(1651, 146.0, 0.9992)","(3226, 146.0, 0.9514)","(3226, 146.0, 0.95054)","(7287, 146.0, 0.30011)","(3226, 146.0, 0.9514)","(7287, 146.0, 0.30066)","(7287, 146.0, 0.30011)","(1651, 146.0, 0.99976)","(6942, 146.0, 0.63357)","(3538, 146.0, 0.24331)","(3697, 146.0, 0.88486)","(7287, 146.0, 0.30066)","(7287, 146.0, 0.30052)","(3226, 146.0, 0.94679)","(1603, 146.0, 1.08701)","(201, 146.0, 0.65687)","(6950, 146.0, 0.51322)","(1651, 146.0, 0.99459)","(7287, 146.0, 0.30099)","(6164, 146.0, 0.33793)","(7277, 146.0, 0.30502)","(1651, 146.0, 0.9992)","(3211, 146.0, 1.21964)","(1855, 146.0, 0.63173)","(1272, 146.0, 0.91581)","(1651, 146.0, 0.99976)","(462, 146.0, 0.87449)","(3538, 146.0, 0.24331)","(99, 146.0, 0.69083)","(3572, 146.0, 0.68679)","(1351, 146.0, 0.24085)","(5387, 146.0, 0.35438)","(1912, 146.0, 0.86399)","(1651, 146.0, 0.99837)","(1689, 146.0, 1.21963)","(6391, 146.0, 0.30665)","(7121, 146.0, 0.27044)","(6936, 146.0, 0.37814)","(4394, 146.0, 0.2486)"
"(1291, 145.0, 1.42111)","(1291, 145.0, 1.4221)","(1291, 145.0, 1.42111)","(1291, 145.0, 1.42231)","(1291, 145.0, 1.4221)","(1651, 145.0, 0.99976)","(1651, 145.0, 0.99837)","(6942, 145.0, 0.6345)","(1272, 145.0, 0.91408)","(6942, 145.0, 0.63357)","(7287, 145.0, 0.30011)","(6942, 145.0, 0.63357)","(6942, 145.0, 0.63235)","(1291, 145.0, 1.4221)","(1291, 145.0, 1.4221)","(1297, 145.0, 0.84668)","(3096, 145.0, 0.89167)","(3096, 145.0, 0.88806)","(6731, 145.0, 0.44031)","(6979, 145.0, 0.5392)","(6979, 145.0, 0.53464)","(6979, 145.0, 0.53909)","(1272, 145.0, 0.91408)","(6731, 145.0, 0.43964)","(6731, 145.0, 0.44031)","(6942, 145.0, 0.62871)","(1291, 145.0, 1.42231)","(1291, 145.0, 1.42231)","(6942, 145.0, 0.62871)","(6942, 145.0, 0.6345)","(3226, 145.0, 0.9514)","(1291, 145.0, 1.4221)","(1272, 145.0, 0.91606)","(3226, 145.0, 0.95054)","(1291, 145.0, 1.42231)","(1291, 145.0, 1.42111)","(1690, 145.0, 0.61809)","(1291, 145.0, 1.41841)","(1291, 145.0, 1.4221)","(517, 145.0, 0.85956)","(517, 145.0, 0.85775)","(1291, 145.0, 1.41841)","(1291, 145.0, 1.4221)","(6979, 145.0, 0.53909)","(6942, 145.0, 0.63357)","(3538, 145.0, 0.24331)","(3538, 145.0, 0.24364)","(1272, 145.0, 0.91408)","(1291, 145.0, 1.42231)","(1291, 145.0, 1.42231)","(1291, 145.0, 1.41841)","(1291, 145.0, 1.42231)","(6731, 145.0, 0.44031)","(1291, 145.0, 1.42231)","(1690, 145.0, 0.62027)","(1291, 145.0, 1.42231)","(1291, 145.0, 1.4221)","(6942, 145.0, 0.62871)","(4810, 145.0, 0.47042)","(6508, 145.0, 0.48629)","(6942, 145.0, 0.63357)","(6942, 145.0, 0.62871)","(1291, 145.0, 1.42111)","(3697, 145.0, 0.88435)","(1120, 145.0, 0.86085)","(1291, 145.0, 1.4221)","(282, 145.0, 0.37888)","(3096, 145.0, 0.88806)","(517, 145.0, 0.86057)","(1291, 145.0, 1.42231)","(1659, 145.0, 0.44902)","(3226, 145.0, 0.9514)","(1272, 145.0, 0.91606)","(484, 145.0, 0.15832)","(1690, 145.0, 0.61809)","(6936, 145.0, 0.37794)","(2404, 145.0, 0.93313)","(1272, 145.0, 0.91599)","(7268, 145.0, 0.33231)","(4464, 145.0, 0.3111)","(7272, 145.0, 0.48051)","(3332, 145.0, 0.17013)","(1471, 145.0, 0.47932)"
"(6942, 144.0, 0.63235)","(6942, 144.0, 0.63357)","(6942, 144.0, 0.63235)","(6942, 144.0, 0.6345)","(6942, 144.0, 0.63357)","(3226, 144.0, 0.9514)","(3226, 144.0, 0.95054)","(1651, 144.0, 0.99976)","(7279, 144.0, 0.90944)","(1651, 144.0, 0.9992)","(1291, 144.0, 1.41841)","(1291, 144.0, 1.4221)","(1291, 144.0, 1.42111)","(1272, 144.0, 0.91606)","(6942, 144.0, 0.63357)","(3226, 144.0, 0.9514)","(6731, 144.0, 0.43964)","(6731, 144.0, 0.43476)","(1297, 144.0, 0.84635)","(6674, 144.0, 0.37459)","(6674, 144.0, 0.37431)","(6674, 144.0, 0.37461)","(3538, 144.0, 0.24284)","(517, 144.0, 0.85956)","(517, 144.0, 0.86044)","(1272, 144.0, 0.91408)","(1272, 144.0, 0.91581)","(6942, 144.0, 0.6345)","(1291, 144.0, 1.41841)","(1272, 144.0, 0.91581)","(1272, 144.0, 0.91581)","(6942, 144.0, 0.63357)","(1291, 144.0, 1.4221)","(3538, 144.0, 0.24364)","(7279, 144.0, 0.91067)","(7279, 144.0, 0.90959)","(1351, 144.0, 0.24085)","(3538, 144.0, 0.24284)","(6942, 144.0, 0.63357)","(3226, 144.0, 0.95054)","(3226, 144.0, 0.94679)","(1272, 144.0, 0.91408)","(1272, 144.0, 0.91606)","(6942, 144.0, 0.63357)","(1291, 144.0, 1.4221)","(1291, 144.0, 1.42231)","(1291, 144.0, 1.42111)","(1291, 144.0, 1.41841)","(7279, 144.0, 0.91067)","(7279, 144.0, 0.91067)","(7279, 144.0, 0.90944)","(6950, 144.0, 0.51308)","(3226, 144.0, 0.95101)","(6661, 144.0, 0.42791)","(7279, 144.0, 0.91067)","(517, 144.0, 0.86057)","(517, 144.0, 0.86044)","(1272, 144.0, 0.91408)","(7238, 144.0, 1.35756)","(6876, 144.0, 0.48677)","(6661, 144.0, 0.42748)","(1272, 144.0, 0.91408)","(6674, 144.0, 0.37459)","(3538, 144.0, 0.24334)","(1689, 144.0, 1.21963)","(6942, 144.0, 0.63357)","(1440, 144.0, 0.39945)","(3226, 144.0, 0.94679)","(1291, 144.0, 1.42231)","(1272, 144.0, 0.91581)","(5005, 144.0, 0.7043)","(1291, 144.0, 1.42231)","(6979, 144.0, 0.53909)","(7287, 144.0, 0.30099)","(1651, 144.0, 0.99459)","(4207, 144.0, 0.4878)","(6797, 144.0, 1.0051)","(1291, 144.0, 1.42111)","(7279, 144.0, 0.91067)","(689, 144.0, 0.40638)","(879, 144.0, 1.4061)","(1352, 144.0, 0.31558)","(3731, 144.0, 1.03657)"
