0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71
"(4472, 144.0, 0.72576)","(6956, 144.0, 0.29069)","(6956, 144.0, 0.29069)","(2822, 144.0, 0.75985)","(2822, 144.0, 0.7611)","(6824, 144.0, 1.36048)","(3116, 144.0, 1.36134)","(6464, 144.0, 0.83884)","(3288, 144.0, 1.44359)","(3288, 144.0, 1.44437)","(2822, 144.0, 0.7611)","(3288, 144.0, 1.44437)","(6956, 144.0, 0.29106)","(2226, 144.0, 0.9861)","(2822, 144.0, 0.76123)","(2822, 144.0, 0.75985)","(6464, 144.0, 0.83853)","(3288, 144.0, 1.44494)","(3288, 144.0, 1.44124)","(7301, 144.0, 0.31633)","(6464, 144.0, 0.83894)","(715, 144.0, 0.36903)","(7301, 144.0, 0.31723)","(6227, 144.0, 0.29998)","(5569, 144.0, 0.48356)","(7269, 144.0, 0.45658)","(2822, 144.0, 0.75985)","(2822, 144.0, 0.76123)","(2822, 144.0, 0.76178)","(2822, 144.0, 0.75985)","(2822, 144.0, 0.76178)","(6956, 144.0, 0.29042)","(282, 144.0, 0.38398)","(7301, 144.0, 0.31954)","(4803, 144.0, 0.38909)","(6956, 144.0, 0.29106)","(2822, 144.0, 0.76178)","(3116, 144.0, 1.36211)","(2822, 144.0, 0.75985)","(2721, 144.0, 0.42766)","(2721, 144.0, 0.42685)","(2721, 144.0, 0.42768)","(2822, 144.0, 0.76178)","(7301, 144.0, 0.31954)","(3116, 144.0, 1.36134)","(2382, 144.0, 1.27561)","(2382, 144.0, 1.27468)","(2822, 144.0, 0.76178)","(1690, 144.0, 0.61878)","(2822, 144.0, 0.76123)","(6464, 144.0, 0.83853)","(2822, 144.0, 0.76123)","(1998, 144.0, 0.99349)","(2822, 144.0, 0.75985)","(7301, 144.0, 0.31622)","(6824, 144.0, 1.36219)","(6824, 144.0, 1.36048)","(6824, 144.0, 1.35791)","(374, 144.0, 0.28065)","(2822, 144.0, 0.76178)","(2261, 144.0, 1.40303)","(2261, 144.0, 1.40146)","(2261, 144.0, 1.39911)","(11, 144.0, 1.04881)","(7269, 144.0, 0.45623)","(1690, 144.0, 0.61878)","(6979, 144.0, 0.53918)","(6227, 144.0, 0.29998)","(5573, 144.0, 0.39619)","(2822, 144.0, 0.76178)","(3116, 144.0, 1.36211)","(4312, 144.0, 0.21138)"
"(3116, 143.0, 1.36295)","(7301, 143.0, 0.31954)","(6725, 143.0, 0.6504)","(7301, 143.0, 0.31954)","(7301, 143.0, 0.31633)","(2822, 143.0, 0.76123)","(6660, 143.0, 0.78238)","(7301, 143.0, 0.31622)","(2822, 143.0, 0.76123)","(2822, 143.0, 0.7611)","(7301, 143.0, 0.31633)","(6464, 143.0, 0.83853)","(2721, 143.0, 0.42766)","(6464, 143.0, 0.83884)","(2226, 143.0, 0.9846)","(2226, 143.0, 0.98294)","(3288, 143.0, 1.44437)","(6660, 143.0, 0.78396)","(6660, 143.0, 0.78204)","(7269, 143.0, 0.45658)","(3288, 143.0, 1.44359)","(3712, 143.0, 1.35798)","(2822, 143.0, 0.76123)","(6956, 143.0, 0.29042)","(6979, 143.0, 0.53926)","(5569, 143.0, 0.48455)","(7301, 143.0, 0.31954)","(7301, 143.0, 0.31723)","(7301, 143.0, 0.31622)","(6956, 143.0, 0.29069)","(7301, 143.0, 0.31622)","(7301, 143.0, 0.31723)","(4472, 143.0, 0.72576)","(2822, 143.0, 0.75985)","(820, 143.0, 1.01951)","(2822, 143.0, 0.76178)","(6464, 143.0, 0.83884)","(3288, 143.0, 1.44437)","(2721, 143.0, 0.42424)","(2822, 143.0, 0.76178)","(2822, 143.0, 0.76123)","(2822, 143.0, 0.7611)","(7301, 143.0, 0.31622)","(3288, 143.0, 1.44124)","(7301, 143.0, 0.31723)","(3288, 143.0, 1.44359)","(3288, 143.0, 1.44124)","(7301, 143.0, 0.31622)","(6883, 143.0, 0.65602)","(7301, 143.0, 0.31723)","(2822, 143.0, 0.7611)","(7301, 143.0, 0.31723)","(2615, 143.0, 0.44287)","(7301, 143.0, 0.31954)","(2822, 143.0, 0.76178)","(2822, 143.0, 0.76178)","(2822, 143.0, 0.76123)","(2822, 143.0, 0.75985)","(2203, 143.0, 0.40742)","(7301, 143.0, 0.31622)","(11, 143.0, 1.04919)","(11, 143.0, 1.04875)","(11, 143.0, 1.04627)","(7039, 143.0, 0.50208)","(6464, 143.0, 0.83894)","(3116, 143.0, 1.35892)","(1690, 143.0, 0.61968)","(6820, 143.0, 0.25206)","(2223, 143.0, 1.10352)","(7301, 143.0, 0.31622)","(2721, 143.0, 0.42768)","(6047, 143.0, 0.4194)"
"(2822, 142.0, 0.76178)","(6464, 142.0, 0.83672)","(2941, 142.0, 1.09713)","(2721, 142.0, 0.42424)","(2721, 142.0, 0.42768)","(3288, 142.0, 1.44359)","(4803, 142.0, 0.38863)","(2721, 142.0, 0.42766)","(6464, 142.0, 0.83894)","(6464, 142.0, 0.83853)","(3288, 142.0, 1.44437)","(7301, 142.0, 0.31633)","(7301, 142.0, 0.31622)","(3288, 142.0, 1.44494)","(6464, 142.0, 0.83894)","(6464, 142.0, 0.83672)","(6824, 142.0, 1.36138)","(6979, 142.0, 0.53954)","(6979, 142.0, 0.53578)","(6956, 142.0, 0.29045)","(7269, 142.0, 0.45623)","(6611, 142.0, 0.46963)","(2721, 142.0, 0.42685)","(6464, 142.0, 0.83894)","(5851, 142.0, 0.59879)","(6979, 142.0, 0.53918)","(2721, 142.0, 0.42424)","(2721, 142.0, 0.42685)","(6464, 142.0, 0.83884)","(2721, 142.0, 0.42424)","(2721, 142.0, 0.42766)","(6464, 142.0, 0.83894)","(4351, 142.0, 0.82653)","(2721, 142.0, 0.42424)","(2822, 142.0, 0.7611)","(7301, 142.0, 0.31622)","(3288, 142.0, 1.44494)","(7301, 142.0, 0.31633)","(3288, 142.0, 1.44124)","(6956, 142.0, 0.29106)","(6956, 142.0, 0.29042)","(6956, 142.0, 0.29045)","(2721, 142.0, 0.42766)","(2721, 142.0, 0.42424)","(2721, 142.0, 0.42685)","(2721, 142.0, 0.42685)","(2721, 142.0, 0.42424)","(2721, 142.0, 0.42766)","(820, 142.0, 1.01637)","(2721, 142.0, 0.42685)","(2382, 142.0, 1.27578)","(2721, 142.0, 0.42685)","(4956, 142.0, 0.39961)","(2721, 142.0, 0.42424)","(2721, 142.0, 0.42766)","(820, 142.0, 1.01968)","(820, 142.0, 1.01816)","(820, 142.0, 1.01637)","(3117, 142.0, 0.52811)","(2721, 142.0, 0.42766)","(7039, 142.0, 0.50122)","(7039, 142.0, 0.50321)","(7039, 142.0, 0.5058)","(7269, 142.0, 0.45658)","(2822, 142.0, 0.76123)","(7303, 142.0, 0.87897)","(3116, 142.0, 1.36211)","(3116, 142.0, 1.36134)","(7189, 142.0, 0.31207)","(2721, 142.0, 0.42766)","(6824, 142.0, 1.36138)","(5699, 142.0, 0.27009)"
"(3288, 141.0, 1.44494)","(2721, 141.0, 0.42424)","(6227, 141.0, 0.30359)","(6464, 141.0, 0.83672)","(6464, 141.0, 0.83853)","(6956, 141.0, 0.29042)","(6956, 141.0, 0.29042)","(7269, 141.0, 0.45591)","(7301, 141.0, 0.31723)","(7301, 141.0, 0.31633)","(2721, 141.0, 0.42768)","(6956, 141.0, 0.29045)","(6464, 141.0, 0.83884)","(6824, 141.0, 1.36219)","(3288, 141.0, 1.44359)","(6824, 141.0, 1.35791)","(7269, 141.0, 0.45658)","(6464, 141.0, 0.83884)","(6464, 141.0, 0.83672)","(2721, 141.0, 0.42768)","(2721, 141.0, 0.42685)","(6721, 141.0, 1.30839)","(6464, 141.0, 0.83894)","(7301, 141.0, 0.31723)","(7290, 141.0, 0.2884)","(5851, 141.0, 0.59856)","(3288, 141.0, 1.44124)","(6464, 141.0, 0.83894)","(2721, 141.0, 0.42766)","(6464, 141.0, 0.83672)","(6464, 141.0, 0.83884)","(3288, 141.0, 1.44359)","(7239, 141.0, 0.3406)","(3288, 141.0, 1.44124)","(3712, 141.0, 1.35798)","(7269, 141.0, 0.45591)","(7301, 141.0, 0.31622)","(6464, 141.0, 0.83853)","(6956, 141.0, 0.29069)","(3288, 141.0, 1.44494)","(3288, 141.0, 1.44359)","(3288, 141.0, 1.44437)","(6464, 141.0, 0.83884)","(6464, 141.0, 0.83672)","(3288, 141.0, 1.44359)","(6464, 141.0, 0.83894)","(6464, 141.0, 0.83672)","(6464, 141.0, 0.83884)","(1342, 141.0, 1.37476)","(6464, 141.0, 0.83894)","(7301, 141.0, 0.31633)","(3288, 141.0, 1.44359)","(1651, 141.0, 0.99568)","(3288, 141.0, 1.44124)","(6464, 141.0, 0.83884)","(6979, 141.0, 0.53954)","(6979, 141.0, 0.53926)","(6979, 141.0, 0.53578)","(1266, 141.0, 0.22688)","(6464, 141.0, 0.83884)","(7269, 141.0, 0.45591)","(7269, 141.0, 0.45623)","(7269, 141.0, 0.45455)","(2822, 141.0, 0.7611)","(7301, 141.0, 0.31723)","(752, 141.0, 1.33338)","(7303, 141.0, 0.87727)","(5837, 141.0, -99)","(6721, 141.0, 1.30944)","(6464, 141.0, 0.83884)","(7301, 141.0, 0.31633)","(205, 141.0, 0.33242)"
"(6979, 140.0, 0.53954)","(3288, 140.0, 1.44124)","(6464, 140.0, 0.83672)","(3288, 140.0, 1.44124)","(3288, 140.0, 1.44437)","(7303, 140.0, 0.87715)","(7301, 140.0, 0.31723)","(4803, 140.0, 0.38979)","(2721, 140.0, 0.42685)","(2721, 140.0, 0.42768)","(6464, 140.0, 0.83853)","(6660, 140.0, 0.7835)","(3288, 140.0, 1.44494)","(7269, 140.0, 0.45591)","(6824, 140.0, 1.36048)","(7269, 140.0, 0.45455)","(7015, 140.0, 0.91209)","(2382, 140.0, 1.27612)","(2382, 140.0, 1.27468)","(6464, 140.0, 0.83853)","(7301, 140.0, 0.31723)","(1328, 140.0, 0.31384)","(3288, 140.0, 1.44359)","(4351, 140.0, 0.82595)","(6773, 140.0, 0.46414)","(7290, 140.0, 0.28714)","(6464, 140.0, 0.83672)","(3288, 140.0, 1.44359)","(3288, 140.0, 1.44494)","(3288, 140.0, 1.44124)","(3288, 140.0, 1.44494)","(2721, 140.0, 0.42685)","(2226, 140.0, 0.9861)","(6464, 140.0, 0.83672)","(6956, 140.0, 0.29045)","(6464, 140.0, 0.83884)","(7269, 140.0, 0.45591)","(2721, 140.0, 0.42768)","(6464, 140.0, 0.83672)","(6464, 140.0, 0.83884)","(6464, 140.0, 0.83894)","(6464, 140.0, 0.83853)","(3288, 140.0, 1.44494)","(7015, 140.0, 0.91051)","(6464, 140.0, 0.83894)","(7301, 140.0, 0.31723)","(7301, 140.0, 0.31954)","(3288, 140.0, 1.44494)","(6956, 140.0, 0.29069)","(3288, 140.0, 1.44359)","(4803, 140.0, 0.38909)","(6464, 140.0, 0.83894)","(7015, 140.0, 0.91051)","(6464, 140.0, 0.83672)","(3288, 140.0, 1.44494)","(6875, 140.0, 0.99103)","(6875, 140.0, 0.99064)","(6875, 140.0, 0.98799)","(1455, 140.0, 0.24073)","(3288, 140.0, 1.44494)","(2822, 140.0, 0.76178)","(2822, 140.0, 0.76123)","(2822, 140.0, 0.75985)","(2226, 140.0, 0.98548)","(4803, 140.0, 0.38863)","(6824, 140.0, 1.35791)","(752, 140.0, 1.3358)","(1372, 140.0, 0.45143)","(1206, 140.0, 0.63795)","(3288, 140.0, 1.44494)","(3712, 140.0, 1.35798)","(5056, 140.0, 0.38579)"
"(3712, 139.0, 1.35854)","(7269, 139.0, 0.45455)","(4351, 139.0, 0.82332)","(7269, 139.0, 0.45455)","(7269, 139.0, 0.45658)","(6464, 139.0, 0.83894)","(3288, 139.0, 1.44359)","(6979, 139.0, 0.53954)","(7269, 139.0, 0.45623)","(7269, 139.0, 0.45658)","(7269, 139.0, 0.45658)","(7015, 139.0, 0.91209)","(7269, 139.0, 0.45591)","(7015, 139.0, 0.91244)","(7269, 139.0, 0.45623)","(7015, 139.0, 0.91051)","(6956, 139.0, 0.29045)","(2721, 139.0, 0.42766)","(2721, 139.0, 0.42424)","(3288, 139.0, 1.44437)","(6979, 139.0, 0.53926)","(3635, 139.0, 0.38111)","(7269, 139.0, 0.45623)","(2721, 139.0, 0.42685)","(6660, 139.0, 0.78238)","(6773, 139.0, 0.46534)","(7269, 139.0, 0.45455)","(7269, 139.0, 0.45623)","(7269, 139.0, 0.45591)","(7269, 139.0, 0.45455)","(7269, 139.0, 0.45591)","(7269, 139.0, 0.45623)","(7015, 139.0, 0.91244)","(7269, 139.0, 0.45455)","(3559, 139.0, 1.05219)","(3288, 139.0, 1.44494)","(2721, 139.0, 0.42766)","(7269, 139.0, 0.45658)","(7269, 139.0, 0.45455)","(7269, 139.0, 0.45591)","(7269, 139.0, 0.45623)","(7269, 139.0, 0.45658)","(7269, 139.0, 0.45591)","(6956, 139.0, 0.29069)","(7269, 139.0, 0.45623)","(6979, 139.0, 0.53926)","(6979, 139.0, 0.53578)","(7269, 139.0, 0.45591)","(7303, 139.0, 0.87897)","(7269, 139.0, 0.45623)","(7269, 139.0, 0.45658)","(7269, 139.0, 0.45623)","(2226, 139.0, 0.98294)","(7269, 139.0, 0.45455)","(7269, 139.0, 0.45591)","(2941, 139.0, 1.09712)","(2941, 139.0, 1.09697)","(2941, 139.0, 1.09713)","(2954, 139.0, 0.9398)","(7269, 139.0, 0.45591)","(2226, 139.0, 0.9861)","(2226, 139.0, 0.9846)","(2226, 139.0, 0.98294)","(282, 139.0, 0.38332)","(3288, 139.0, 1.44359)","(1767, 139.0, 0.87864)","(6824, 139.0, 1.36138)","(752, 139.0, 1.33517)","(1860, 139.0, 0.4749)","(7269, 139.0, 0.45591)","(6956, 139.0, 0.29045)","(1394, 139.0, 0.70531)"
"(6464, 138.0, 0.83884)","(4803, 138.0, 0.38487)","(2721, 138.0, 0.42424)","(4803, 138.0, 0.38487)","(4803, 138.0, 0.38909)","(7239, 138.0, 0.33959)","(7015, 138.0, 0.9124)","(820, 138.0, 1.01968)","(4803, 138.0, 0.38863)","(4803, 138.0, 0.38909)","(6979, 138.0, 0.53918)","(7269, 138.0, 0.45658)","(6660, 138.0, 0.78396)","(6956, 138.0, 0.29106)","(7015, 138.0, 0.9124)","(6956, 138.0, 0.29069)","(7303, 138.0, 0.87727)","(820, 138.0, 1.01968)","(820, 138.0, 1.01637)","(6660, 138.0, 0.7835)","(4351, 138.0, 0.82595)","(7039, 138.0, 0.50208)","(4803, 138.0, 0.38863)","(6979, 138.0, 0.53926)","(5326, 138.0, 0.5786)","(6660, 138.0, 0.7835)","(6660, 138.0, 0.78204)","(4803, 138.0, 0.38863)","(4803, 138.0, 0.38979)","(4803, 138.0, 0.38487)","(6660, 138.0, 0.78396)","(4803, 138.0, 0.38863)","(3288, 138.0, 1.44494)","(4803, 138.0, 0.38487)","(2226, 138.0, 0.98548)","(2226, 138.0, 0.9861)","(6660, 138.0, 0.78396)","(6979, 138.0, 0.53918)","(6660, 138.0, 0.78204)","(4803, 138.0, 0.38979)","(4803, 138.0, 0.38863)","(4803, 138.0, 0.38909)","(4803, 138.0, 0.38979)","(2226, 138.0, 0.98294)","(6660, 138.0, 0.78238)","(820, 138.0, 1.01816)","(820, 138.0, 1.01637)","(4803, 138.0, 0.38979)","(4472, 138.0, 0.72167)","(4803, 138.0, 0.38863)","(6979, 138.0, 0.53918)","(6660, 138.0, 0.78238)","(6464, 138.0, 0.83672)","(7239, 138.0, 0.3406)","(4803, 138.0, 0.38979)","(1342, 138.0, 1.37783)","(1342, 138.0, 1.37658)","(1342, 138.0, 1.37476)","(6660, 138.0, 0.78396)","(4803, 138.0, 0.38979)","(282, 138.0, 0.38398)","(282, 138.0, 0.38182)","(282, 138.0, 0.37948)","(6979, 138.0, 0.53918)","(6660, 138.0, 0.78238)","(282, 138.0, 0.37948)","(1767, 138.0, 0.88117)","(1767, 138.0, 0.88123)","(2261, 138.0, 1.40303)","(6660, 138.0, 0.78396)","(2822, 138.0, 0.7611)","(6729, 138.0, 0.47339)"
"(820, 137.0, 1.01968)","(6660, 137.0, 0.78204)","(820, 137.0, 1.01637)","(6660, 137.0, 0.78204)","(6660, 137.0, 0.7835)","(7015, 137.0, 0.9124)","(3712, 137.0, 1.35735)","(6660, 137.0, 0.78396)","(6979, 137.0, 0.53926)","(6979, 137.0, 0.53918)","(4803, 137.0, 0.38909)","(2721, 137.0, 0.42768)","(2226, 137.0, 0.9861)","(7303, 137.0, 0.87726)","(6956, 137.0, 0.29042)","(7303, 137.0, 0.87897)","(4803, 137.0, 0.38909)","(3712, 137.0, 1.35854)","(3712, 137.0, 1.35522)","(4803, 137.0, 0.38909)","(3712, 137.0, 1.35735)","(5934, 137.0, 0.30006)","(6979, 137.0, 0.53926)","(6660, 137.0, 0.78238)","(6876, 137.0, 0.48473)","(5326, 137.0, 0.57926)","(6979, 137.0, 0.53578)","(6660, 137.0, 0.78238)","(6660, 137.0, 0.78396)","(6660, 137.0, 0.78204)","(4803, 137.0, 0.38979)","(6660, 137.0, 0.78238)","(7301, 137.0, 0.31622)","(820, 137.0, 1.01637)","(4351, 137.0, 0.82605)","(4803, 137.0, 0.38979)","(4803, 137.0, 0.38979)","(6660, 137.0, 0.7835)","(7239, 137.0, 0.3406)","(6660, 137.0, 0.78396)","(6660, 137.0, 0.78238)","(6660, 137.0, 0.7835)","(6660, 137.0, 0.78396)","(6660, 137.0, 0.78204)","(4351, 137.0, 0.82595)","(4351, 137.0, 0.82595)","(4351, 137.0, 0.82332)","(6660, 137.0, 0.78396)","(3116, 137.0, 1.35892)","(6660, 137.0, 0.78238)","(2721, 137.0, 0.42768)","(6979, 137.0, 0.53926)","(7106, 137.0, 0.2616)","(6979, 137.0, 0.53578)","(6660, 137.0, 0.78396)","(7301, 137.0, 0.31622)","(7301, 137.0, 0.31723)","(7301, 137.0, 0.31954)","(6936, 137.0, 0.37811)","(7239, 137.0, 0.3406)","(6979, 137.0, 0.53954)","(6979, 137.0, 0.53926)","(6979, 137.0, 0.53578)","(6725, 137.0, 0.65304)","(7239, 137.0, 0.33959)","(820, 137.0, 1.01637)","(282, 137.0, 0.38332)","(5424, 137.0, 0.8432)","(6882, 137.0, 0.40989)","(4803, 137.0, 0.38979)","(6464, 137.0, 0.83853)","(398, 137.0, 0.64778)"
"(6660, 136.0, 0.78396)","(2226, 136.0, 0.98294)","(6979, 136.0, 0.53578)","(6979, 136.0, 0.53578)","(6979, 136.0, 0.53918)","(2226, 136.0, 0.9846)","(2226, 136.0, 0.9846)","(7239, 136.0, 0.3406)","(820, 136.0, 1.01816)","(820, 136.0, 1.01951)","(6660, 136.0, 0.7835)","(4351, 136.0, 0.82605)","(3712, 136.0, 1.35854)","(4803, 136.0, 0.38979)","(7303, 136.0, 0.87715)","(4803, 136.0, 0.38487)","(6660, 136.0, 0.7835)","(4803, 136.0, 0.38979)","(4803, 136.0, 0.38487)","(2226, 136.0, 0.98548)","(4803, 136.0, 0.38863)","(1373, 136.0, 1.23585)","(820, 136.0, 1.01816)","(7015, 136.0, 0.9124)","(2954, 136.0, 0.93947)","(6876, 136.0, 0.48615)","(4803, 136.0, 0.38487)","(6979, 136.0, 0.53926)","(6979, 136.0, 0.53954)","(6979, 136.0, 0.53578)","(6979, 136.0, 0.53954)","(6979, 136.0, 0.53926)","(6979, 136.0, 0.53954)","(6979, 136.0, 0.53578)","(7269, 136.0, 0.45658)","(3712, 136.0, 1.35854)","(7239, 136.0, 0.3406)","(4351, 136.0, 0.82605)","(6979, 136.0, 0.53578)","(2226, 136.0, 0.9861)","(2226, 136.0, 0.9846)","(2226, 136.0, 0.98548)","(6979, 136.0, 0.53954)","(7269, 136.0, 0.45455)","(6979, 136.0, 0.53926)","(7202, 136.0, 0.47882)","(7202, 136.0, 0.47653)","(6979, 136.0, 0.53954)","(1372, 136.0, 0.44957)","(6979, 136.0, 0.53926)","(6660, 136.0, 0.7835)","(4803, 136.0, 0.38863)","(7228, 136.0, 0.34595)","(3712, 136.0, 1.35522)","(7239, 136.0, 0.3406)","(2721, 136.0, 0.42766)","(2721, 136.0, 0.42685)","(2721, 136.0, 0.42424)","(4630, 136.0, 0.65093)","(6979, 136.0, 0.53954)","(6725, 136.0, 0.65357)","(6725, 136.0, 0.65146)","(6725, 136.0, 0.6504)","(6820, 136.0, 0.25306)","(2721, 136.0, 0.42685)","(322, 136.0, 0.32095)","(820, 136.0, 1.01951)","(158, 136.0, 0.48719)","(134, 136.0, 0.19084)","(6979, 136.0, 0.53954)","(282, 136.0, 0.38332)","(6539, 136.0, 0.24858)"
"(7239, 135.0, 0.3406)","(7015, 135.0, 0.91051)","(3027, 135.0, 1.23064)","(3712, 135.0, 1.35522)","(3712, 135.0, 1.35798)","(6660, 135.0, 0.78238)","(7239, 135.0, 0.33959)","(4351, 135.0, 0.82653)","(6660, 135.0, 0.78238)","(6660, 135.0, 0.7835)","(820, 135.0, 1.01951)","(6979, 135.0, 0.53918)","(6979, 135.0, 0.53954)","(6660, 135.0, 0.78396)","(4803, 135.0, 0.38863)","(6660, 135.0, 0.78204)","(7124, 135.0, 0.31749)","(282, 135.0, 0.38398)","(4472, 135.0, 0.72167)","(4351, 135.0, 0.82605)","(7239, 135.0, 0.33959)","(841, 135.0, 0.27495)","(7239, 135.0, 0.33959)","(6725, 135.0, 0.65146)","(2237, 135.0, 1.01849)","(2954, 135.0, 0.93952)","(3712, 135.0, 1.35522)","(2226, 135.0, 0.9846)","(7239, 135.0, 0.3406)","(7239, 135.0, 0.3406)","(4351, 135.0, 0.82653)","(3712, 135.0, 1.35735)","(2721, 135.0, 0.42766)","(6660, 135.0, 0.78204)","(6725, 135.0, 0.65304)","(7015, 135.0, 0.91244)","(6979, 135.0, 0.53954)","(3712, 135.0, 1.35798)","(3712, 135.0, 1.35522)","(7239, 135.0, 0.3406)","(7239, 135.0, 0.33959)","(7239, 135.0, 0.34022)","(3712, 135.0, 1.35854)","(4351, 135.0, 0.82332)","(3712, 135.0, 1.35735)","(1249, 135.0, 0.882)","(1249, 135.0, 0.88115)","(3712, 135.0, 1.35854)","(5865, 135.0, 0.58299)","(3712, 135.0, 1.35735)","(820, 135.0, 1.01951)","(820, 135.0, 1.01816)","(1358, 135.0, 0.59625)","(4803, 135.0, 0.38487)","(820, 135.0, 1.01968)","(6176, 135.0, 1.03469)","(6176, 135.0, 1.03453)","(6176, 135.0, 1.03184)","(1833, 135.0, 0.51564)","(6660, 135.0, 0.78396)","(6820, 135.0, 0.25324)","(6820, 135.0, 0.25206)","(6820, 135.0, 0.25272)","(6876, 135.0, 0.48615)","(3712, 135.0, 1.35735)","(1342, 135.0, 1.37476)","(322, 135.0, 0.31714)","(6715, 135.0, 1.37816)","(7074, 135.0, 0.53892)","(3712, 135.0, 1.35854)","(6660, 135.0, 0.7835)","(752, 135.0, 1.33338)"
"(4351, 134.0, 0.82653)","(6979, 134.0, 0.53578)","(4803, 134.0, 0.38487)","(2226, 134.0, 0.98294)","(2226, 134.0, 0.98548)","(7269, 134.0, 0.45623)","(2721, 134.0, 0.42685)","(3712, 134.0, 1.35854)","(7239, 134.0, 0.33959)","(7239, 134.0, 0.34022)","(4351, 134.0, 0.82605)","(3712, 134.0, 1.35798)","(4351, 134.0, 0.82653)","(7124, 134.0, 0.31632)","(6660, 134.0, 0.78238)","(7124, 134.0, 0.32041)","(4351, 134.0, 0.82605)","(4351, 134.0, 0.82653)","(4351, 134.0, 0.82332)","(7015, 134.0, 0.91209)","(6660, 134.0, 0.78238)","(3700, 134.0, 0.68773)","(6660, 134.0, 0.78238)","(4803, 134.0, 0.38863)","(7145, 134.0, 0.37937)","(2237, 134.0, 1.01909)","(820, 134.0, 1.01637)","(3712, 134.0, 1.35735)","(3712, 134.0, 1.35854)","(3712, 134.0, 1.35522)","(3712, 134.0, 1.35854)","(7015, 134.0, 0.9124)","(7269, 134.0, 0.45591)","(2226, 134.0, 0.98294)","(6883, 134.0, 0.65718)","(7239, 134.0, 0.3406)","(7015, 134.0, 0.91244)","(4803, 134.0, 0.38909)","(4803, 134.0, 0.38487)","(4351, 134.0, 0.82653)","(4351, 134.0, 0.82595)","(4351, 134.0, 0.82605)","(7239, 134.0, 0.3406)","(6979, 134.0, 0.53578)","(7239, 134.0, 0.33959)","(3712, 134.0, 1.35735)","(3712, 134.0, 1.35522)","(7239, 134.0, 0.3406)","(2941, 134.0, 1.09713)","(7239, 134.0, 0.33959)","(4351, 134.0, 0.82605)","(4351, 134.0, 0.82595)","(1394, 134.0, 0.70531)","(6660, 134.0, 0.78204)","(6979, 134.0, 0.53954)","(2954, 134.0, 0.9398)","(2954, 134.0, 0.93947)","(2954, 134.0, 0.9367)","(4956, 134.0, 0.39604)","(3712, 134.0, 1.35854)","(6876, 134.0, 0.48676)","(6876, 134.0, 0.48473)","(6876, 134.0, 0.48131)","(1767, 134.0, 0.88117)","(6979, 134.0, 0.53926)","(3712, 134.0, 1.35522)","(1342, 134.0, 1.37724)","(4584, 134.0, 0.59653)","(5315, 134.0, 0.76303)","(4351, 134.0, 0.82653)","(2226, 134.0, 0.98548)","(6541, 134.0, 0.36313)"
"(7303, 133.0, 0.87726)","(3712, 133.0, 1.35522)","(6660, 133.0, 0.78204)","(7015, 133.0, 0.91051)","(7015, 133.0, 0.91209)","(4351, 133.0, 0.82595)","(282, 133.0, 0.38182)","(7015, 133.0, 0.91244)","(4351, 133.0, 0.82595)","(4351, 133.0, 0.82605)","(7239, 133.0, 0.34022)","(2226, 133.0, 0.98548)","(7239, 133.0, 0.3406)","(4351, 133.0, 0.82653)","(7124, 133.0, 0.31854)","(4351, 133.0, 0.82332)","(820, 133.0, 1.01951)","(7269, 133.0, 0.45591)","(7269, 133.0, 0.45455)","(7239, 133.0, 0.34022)","(7015, 133.0, 0.9124)","(6456, 133.0, 0.25093)","(3712, 133.0, 1.35735)","(2226, 133.0, 0.9846)","(6823, 133.0, 0.41253)","(7145, 133.0, 0.37824)","(4351, 133.0, 0.82332)","(4351, 133.0, 0.82595)","(2226, 133.0, 0.9861)","(4351, 133.0, 0.82332)","(820, 133.0, 1.01968)","(2226, 133.0, 0.9846)","(7303, 133.0, 0.87726)","(4351, 133.0, 0.82332)","(4119, 133.0, 0.43681)","(6979, 133.0, 0.53954)","(3712, 133.0, 1.35854)","(2226, 133.0, 0.98548)","(7015, 133.0, 0.91051)","(3712, 133.0, 1.35854)","(3712, 133.0, 1.35735)","(3712, 133.0, 1.35798)","(2226, 133.0, 0.9861)","(3712, 133.0, 1.35522)","(2226, 133.0, 0.9846)","(2226, 133.0, 0.9846)","(2226, 133.0, 0.98294)","(2226, 133.0, 0.9861)","(7269, 133.0, 0.45455)","(2226, 133.0, 0.9846)","(3712, 133.0, 1.35798)","(7239, 133.0, 0.33959)","(1331, 133.0, 0.37543)","(2226, 133.0, 0.98294)","(4351, 133.0, 0.82653)","(7269, 133.0, 0.45591)","(7269, 133.0, 0.45623)","(7269, 133.0, 0.45455)","(6827, 133.0, 1.06886)","(820, 133.0, 1.01968)","(1767, 133.0, 0.88165)","(1767, 133.0, 0.88123)","(1767, 133.0, 0.87864)","(3027, 133.0, 1.23406)","(282, 133.0, 0.38182)","(7124, 133.0, 0.32041)","(3712, 133.0, 1.35798)","(1857, 133.0, 0.95026)","(7034, 133.0, 0.98677)","(7239, 133.0, 0.3406)","(7015, 133.0, 0.91209)","(882, 133.0, 0.31585)"
