0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69
"(6642, 143.0, 0.38397)","(3968, 143.0, 0.29108)","(6642, 143.0, 0.38397)","(6642, 143.0, 0.38428)","(1981, 143.0, 1.0099)","(7200, 143.0, 0.47393)","(7200, 143.0, 0.47575)","(7200, 143.0, 0.47974)","(1981, 143.0, 1.01096)","(3968, 143.0, 0.2916)","(3968, 143.0, 0.29318)","(3968, 143.0, 0.29098)","(4489, 143.0, 0.40108)","(6642, 143.0, 0.38397)","(5833, 143.0, 0.62968)","(5833, 143.0, 0.62739)","(2493, 143.0, 0.80377)","(5833, 143.0, 0.62864)","(7289, 143.0, 0.40419)","(1624, 143.0, 0.27263)","(1624, 143.0, 0.27089)","(6642, 143.0, 0.38864)","(4553, 143.0, 0.59971)","(348, 143.0, 0.42941)","(6882, 143.0, 0.40966)","(3968, 143.0, 0.2916)","(3968, 143.0, 0.29108)","(1981, 143.0, 1.01096)","(6413, 143.0, 0.69458)","(6953, 143.0, 0.38344)","(7289, 143.0, 0.40295)","(6943, 143.0, 0.5299)","(6474, 143.0, 0.8469)","(6854, 143.0, 0.56127)","(7200, 143.0, 0.47393)","(4489, 143.0, 0.40108)","(3968, 143.0, 0.29108)","(3968, 143.0, 0.29098)","(7205, 143.0, 0.30307)","(7200, 143.0, 0.47575)","(6642, 143.0, 0.38577)","(6642, 143.0, 0.38577)","(2798, 143.0, 1.01508)","(1624, 143.0, 0.27263)","(1624, 143.0, 0.27596)","(2798, 143.0, 1.02017)","(4489, 143.0, 0.39521)","(5463, 143.0, 0.33184)","(4489, 143.0, 0.39626)","(1644, 143.0, 0.54475)","(4489, 143.0, 0.39484)","(2685, 143.0, 0.42396)","(3968, 143.0, 0.29098)","(6474, 143.0, 0.84728)","(6474, 143.0, 0.8469)","(6956, 143.0, 0.29068)","(3974, 143.0, 0.73589)","(1624, 143.0, 0.27263)","(1624, 143.0, 0.27596)","(1981, 143.0, 1.00958)","(6943, 143.0, 0.52963)","(4489, 143.0, 0.39521)","(3968, 143.0, 0.29318)","(3968, 143.0, 0.29108)","(1624, 143.0, 0.27089)","(2011, 143.0, 0.977)","(6713, 143.0, 1.36677)","(4429, 143.0, 0.65722)","(831, 143.0, 0.34501)","(498, 143.0, 0.22517)"
"(7200, 142.0, 0.47393)","(4489, 142.0, 0.39484)","(1981, 142.0, 1.01096)","(1981, 142.0, 1.01054)","(4489, 142.0, 0.39626)","(1624, 142.0, 0.27038)","(1624, 142.0, 0.27263)","(1624, 142.0, 0.27596)","(6953, 142.0, 0.38377)","(1624, 142.0, 0.27263)","(1624, 142.0, 0.27596)","(1624, 142.0, 0.27089)","(3968, 142.0, 0.29318)","(3968, 142.0, 0.29108)","(1581, 142.0, 0.64574)","(1581, 142.0, 0.64446)","(5833, 142.0, 0.62788)","(1581, 142.0, 0.64525)","(1624, 142.0, 0.27089)","(3968, 142.0, 0.2916)","(3968, 142.0, 0.29098)","(3968, 142.0, 0.29318)","(5833, 142.0, 0.62788)","(6882, 142.0, 0.40918)","(355, 142.0, 0.41912)","(1644, 142.0, 0.54407)","(4489, 142.0, 0.39484)","(6642, 142.0, 0.38397)","(4489, 142.0, 0.39626)","(3974, 142.0, 0.7358)","(1541, 142.0, 0.86967)","(6854, 142.0, 0.56162)","(7187, 142.0, 0.2972)","(6474, 142.0, 0.84812)","(6953, 142.0, 0.38377)","(6953, 142.0, 0.38227)","(1981, 142.0, 1.01096)","(1981, 142.0, 1.01054)","(7289, 142.0, 0.40295)","(4489, 142.0, 0.39626)","(6953, 142.0, 0.38323)","(7200, 142.0, 0.47575)","(5833, 142.0, 0.62788)","(1981, 142.0, 1.0099)","(1981, 142.0, 1.00958)","(7289, 142.0, 0.40472)","(3968, 142.0, 0.29098)","(4192, 142.0, 0.21033)","(6953, 142.0, 0.38323)","(6642, 142.0, 0.38397)","(1624, 142.0, 0.27038)","(160, 142.0, 0.46758)","(1981, 142.0, 1.01054)","(3974, 142.0, 0.73527)","(3974, 142.0, 0.73351)","(6474, 142.0, 0.84812)","(2798, 142.0, 1.02017)","(3974, 142.0, 0.73527)","(3974, 142.0, 0.73351)","(1624, 142.0, 0.27596)","(5532, 142.0, 0.31654)","(6823, 142.0, 0.4115)","(6823, 142.0, 0.41376)","(7200, 142.0, 0.47393)","(1857, 142.0, 0.95021)","(1651, 142.0, 0.9995)","(4705, 142.0, 0.46305)","(7148, 142.0, 0.3344)","(6956, 142.0, 0.29071)","(6689, 142.0, 0.33124)"
"(1644, 141.0, 0.54475)","(6953, 141.0, 0.38377)","(1624, 141.0, 0.27038)","(1624, 141.0, 0.27089)","(1624, 141.0, 0.27263)","(4489, 141.0, 0.39484)","(4489, 141.0, 0.39626)","(4489, 141.0, 0.40108)","(5833, 141.0, 0.62968)","(1981, 141.0, 1.0099)","(1981, 141.0, 1.00958)","(1981, 141.0, 1.01054)","(7200, 141.0, 0.47974)","(7200, 141.0, 0.47393)","(1907, 141.0, 1.26581)","(1644, 141.0, 0.54407)","(1581, 141.0, 0.64178)","(1644, 141.0, 0.54461)","(2798, 141.0, 1.01979)","(6953, 141.0, 0.38323)","(6953, 141.0, 0.38344)","(1624, 141.0, 0.27596)","(5816, 141.0, 0.36062)","(355, 141.0, 0.42335)","(82, 141.0, 0.48791)","(1252, 141.0, 0.96995)","(7200, 141.0, 0.47393)","(7200, 141.0, 0.47393)","(1644, 141.0, 0.54407)","(4489, 141.0, 0.39521)","(3974, 141.0, 0.73351)","(6474, 141.0, 0.84877)","(1644, 141.0, 0.54296)","(7187, 141.0, 0.29662)","(1624, 141.0, 0.27038)","(3974, 141.0, 0.73351)","(1624, 141.0, 0.27038)","(1624, 141.0, 0.27089)","(4489, 141.0, 0.40108)","(3968, 141.0, 0.2916)","(3968, 141.0, 0.2916)","(3968, 141.0, 0.2916)","(6642, 141.0, 0.38864)","(7200, 141.0, 0.47575)","(7200, 141.0, 0.47974)","(5833, 141.0, 0.62968)","(6953, 141.0, 0.38344)","(5678, 141.0, 0.71465)","(1981, 141.0, 1.0099)","(1581, 141.0, 0.64574)","(2798, 141.0, 1.02017)","(677, 141.0, 0.44652)","(1541, 141.0, 0.87139)","(1981, 141.0, 1.0099)","(1981, 141.0, 1.00958)","(3974, 141.0, 0.7358)","(7289, 141.0, 0.40472)","(2798, 141.0, 1.01857)","(2798, 141.0, 1.01508)","(3968, 141.0, 0.29318)","(2294, 141.0, 1.47866)","(3968, 141.0, 0.29098)","(6943, 141.0, 0.52969)","(1624, 141.0, 0.27038)","(3873, 141.0, 0.75755)","(2261, 141.0, 1.40236)","(5440, 141.0, 0.48184)","(1252, 141.0, 0.96995)","(6943, 141.0, 0.52969)","(4669, 141.0, 0.22291)"
"(3968, 140.0, 0.29108)","(7200, 140.0, 0.47393)","(5833, 140.0, 0.62968)","(5833, 140.0, 0.62864)","(7200, 140.0, 0.47575)","(3974, 140.0, 0.73589)","(3974, 140.0, 0.73527)","(3974, 140.0, 0.73351)","(4489, 140.0, 0.39484)","(6953, 140.0, 0.38323)","(6953, 140.0, 0.38227)","(6953, 140.0, 0.38344)","(6953, 140.0, 0.38227)","(6953, 140.0, 0.38377)","(3968, 140.0, 0.29108)","(1907, 140.0, 1.2643)","(1644, 140.0, 0.54296)","(1907, 140.0, 1.26521)","(3974, 140.0, 0.7358)","(7200, 140.0, 0.47575)","(7200, 140.0, 0.47456)","(5833, 140.0, 0.62788)","(1294, 140.0, 0.63728)","(82, 140.0, 0.48493)","(2750, 140.0, 0.29499)","(2798, 140.0, 1.01857)","(1624, 140.0, 0.27038)","(1624, 140.0, 0.27038)","(1581, 140.0, 0.64446)","(7200, 140.0, 0.47456)","(7205, 140.0, 0.30307)","(7187, 140.0, 0.29647)","(6871, 140.0, 0.56814)","(1644, 140.0, 0.54461)","(3968, 140.0, 0.29108)","(3968, 140.0, 0.29318)","(4489, 140.0, 0.39484)","(4489, 140.0, 0.39521)","(1644, 140.0, 0.54296)","(6953, 140.0, 0.38323)","(1644, 140.0, 0.54407)","(1624, 140.0, 0.27263)","(3974, 140.0, 0.73351)","(6642, 140.0, 0.38577)","(6642, 140.0, 0.38864)","(4489, 140.0, 0.39484)","(1624, 140.0, 0.27089)","(1121, 140.0, 0.7345)","(3968, 140.0, 0.2916)","(2798, 140.0, 1.02017)","(1981, 140.0, 1.01096)","(3606, 140.0, 0.6068)","(4489, 140.0, 0.39521)","(1779, 140.0, 0.94977)","(1779, 140.0, 0.94662)","(1981, 140.0, 1.01054)","(1581, 140.0, 0.64574)","(7289, 140.0, 0.40372)","(7289, 140.0, 0.40295)","(4489, 140.0, 0.40108)","(3027, 140.0, 1.23416)","(3974, 140.0, 0.7358)","(6294, 140.0, 1.12092)","(4489, 140.0, 0.39484)","(6943, 140.0, 0.52963)","(7182, 140.0, 0.18096)","(7289, 140.0, 0.40419)","(7250, 140.0, 0.35853)","(99, 140.0, 0.69042)","(5756, 140.0, 0.37453)"
"(6953, 139.0, 0.38377)","(1624, 139.0, 0.27038)","(7200, 139.0, 0.47393)","(7200, 139.0, 0.47456)","(6953, 139.0, 0.38323)","(7205, 139.0, 0.30335)","(7205, 139.0, 0.30193)","(7205, 139.0, 0.30307)","(7200, 139.0, 0.47393)","(5833, 139.0, 0.62739)","(5833, 139.0, 0.62788)","(5833, 139.0, 0.62864)","(1624, 139.0, 0.27596)","(1644, 139.0, 0.54475)","(6642, 139.0, 0.38397)","(3968, 139.0, 0.2916)","(1907, 139.0, 1.26423)","(3968, 139.0, 0.29098)","(5833, 139.0, 0.62864)","(4489, 139.0, 0.39626)","(4489, 139.0, 0.39521)","(1644, 139.0, 0.54296)","(4076, 139.0, 0.34833)","(2750, 139.0, 0.29199)","(7184, 139.0, 0.28107)","(1581, 139.0, 0.64446)","(6953, 139.0, 0.38377)","(5833, 139.0, 0.62968)","(3108, 139.0, 0.99018)","(3968, 139.0, 0.29098)","(1624, 139.0, 0.27596)","(1644, 139.0, 0.54475)","(7205, 139.0, 0.30307)","(6871, 139.0, 0.57207)","(3974, 139.0, 0.73589)","(1644, 139.0, 0.54296)","(5833, 139.0, 0.62968)","(5833, 139.0, 0.62864)","(3974, 139.0, 0.73351)","(5833, 139.0, 0.62739)","(7200, 139.0, 0.47575)","(6953, 139.0, 0.38323)","(3968, 139.0, 0.29318)","(1644, 139.0, 0.54407)","(1644, 139.0, 0.54296)","(1581, 139.0, 0.64574)","(7200, 139.0, 0.47456)","(7157, 139.0, 0.37452)","(5833, 139.0, 0.62739)","(3873, 139.0, 0.75757)","(5833, 139.0, 0.62968)","(2336, 139.0, 0.43967)","(1581, 139.0, 0.64525)","(1081, 139.0, 0.22587)","(1081, 139.0, 0.22757)","(1779, 139.0, 0.95064)","(6953, 139.0, 0.38377)","(1581, 139.0, 0.64446)","(1581, 139.0, 0.64178)","(1541, 139.0, 0.86967)","(6642, 139.0, 0.38428)","(5833, 139.0, 0.62864)","(2294, 139.0, 1.47529)","(6953, 139.0, 0.38377)","(6642, 139.0, 0.38428)","(6642, 139.0, 0.38428)","(6932, 139.0, 0.67142)","(2958, 139.0, 0.28739)","(7289, 139.0, 0.40295)","(3771, 139.0, 1.11964)"
"(1624, 138.0, 0.27038)","(3974, 138.0, 0.73589)","(6953, 138.0, 0.38377)","(6953, 138.0, 0.38344)","(5833, 138.0, 0.62739)","(5833, 138.0, 0.62968)","(5833, 138.0, 0.62739)","(5833, 138.0, 0.62788)","(1644, 138.0, 0.54475)","(7289, 138.0, 0.40372)","(7289, 138.0, 0.40295)","(7289, 138.0, 0.40419)","(1644, 138.0, 0.54296)","(1624, 138.0, 0.27038)","(1624, 138.0, 0.27038)","(6642, 138.0, 0.38577)","(3968, 138.0, 0.29318)","(6642, 138.0, 0.38428)","(1644, 138.0, 0.54461)","(3974, 138.0, 0.73527)","(3974, 138.0, 0.7358)","(7289, 138.0, 0.40295)","(2623, 138.0, 0.30084)","(7184, 138.0, 0.28252)","(6109, 138.0, 0.31184)","(7205, 138.0, 0.30193)","(1644, 138.0, 0.54475)","(1644, 138.0, 0.54475)","(2850, 138.0, 1.14731)","(1644, 138.0, 0.54461)","(4489, 138.0, 0.40108)","(6871, 138.0, 0.57224)","(5532, 138.0, 0.31267)","(7205, 138.0, 0.30286)","(4489, 138.0, 0.39484)","(7289, 138.0, 0.40295)","(7289, 138.0, 0.40472)","(7289, 138.0, 0.40419)","(1541, 138.0, 0.86967)","(1624, 138.0, 0.27263)","(1624, 138.0, 0.27263)","(1644, 138.0, 0.54407)","(1644, 138.0, 0.54296)","(6953, 138.0, 0.38323)","(6953, 138.0, 0.38227)","(7200, 138.0, 0.47393)","(5833, 138.0, 0.62864)","(4203, 138.0, 0.42012)","(1644, 138.0, 0.54407)","(2294, 138.0, 1.4792)","(1644, 138.0, 0.54475)","(3520, 138.0, 0.70243)","(1624, 138.0, 0.27089)","(831, 138.0, 0.34688)","(831, 138.0, 0.34501)","(1081, 138.0, 0.2255)","(7200, 138.0, 0.47393)","(6953, 138.0, 0.38323)","(6953, 138.0, 0.38227)","(6953, 138.0, 0.38227)","(1907, 138.0, 1.26521)","(7205, 138.0, 0.30286)","(5833, 138.0, 0.62788)","(3974, 138.0, 0.73589)","(7289, 138.0, 0.40419)","(1624, 138.0, 0.27089)","(572, 138.0, 0.73305)","(3902, 138.0, 0.94422)","(3974, 138.0, 0.73351)","(1212, 138.0, 0.47542)"
"(7289, 137.0, 0.40472)","(5833, 137.0, 0.62968)","(1644, 137.0, 0.54475)","(1644, 137.0, 0.54461)","(3974, 137.0, 0.73527)","(7289, 137.0, 0.40472)","(7289, 137.0, 0.40372)","(7289, 137.0, 0.40295)","(1581, 137.0, 0.64574)","(4489, 137.0, 0.39626)","(4489, 137.0, 0.40108)","(4489, 137.0, 0.39521)","(5833, 137.0, 0.62788)","(5833, 137.0, 0.62968)","(2798, 137.0, 1.02017)","(3027, 137.0, 1.23291)","(6642, 137.0, 0.38864)","(3027, 137.0, 1.23416)","(1981, 137.0, 1.01054)","(7289, 137.0, 0.40372)","(7289, 137.0, 0.40419)","(1981, 137.0, 1.00958)","(3173, 137.0, 0.45436)","(6109, 137.0, 0.31672)","(2866, 137.0, 0.34838)","(7289, 137.0, 0.40372)","(3974, 137.0, 0.73589)","(6953, 137.0, 0.38377)","(7121, 137.0, 0.27023)","(5833, 137.0, 0.62864)","(3968, 137.0, 0.29318)","(7205, 137.0, 0.30335)","(6413, 137.0, 0.69332)","(5532, 137.0, 0.31654)","(5833, 137.0, 0.62968)","(7200, 137.0, 0.47974)","(1644, 137.0, 0.54475)","(1644, 137.0, 0.54461)","(1624, 137.0, 0.27596)","(1644, 137.0, 0.54407)","(7289, 137.0, 0.40372)","(7289, 137.0, 0.40372)","(7200, 137.0, 0.47974)","(7289, 137.0, 0.40372)","(7289, 137.0, 0.40295)","(3974, 137.0, 0.73589)","(1644, 137.0, 0.54461)","(314, 137.0, 0.27947)","(1624, 137.0, 0.27263)","(3974, 137.0, 0.73589)","(3974, 137.0, 0.73589)","(146, 137.0, 0.40902)","(7200, 137.0, 0.47456)","(6529, 137.0, 0.58094)","(6529, 137.0, 0.58363)","(831, 137.0, 0.34749)","(1541, 137.0, 0.87201)","(7200, 137.0, 0.47575)","(7200, 137.0, 0.47974)","(7200, 137.0, 0.47974)","(7200, 137.0, 0.47456)","(6642, 137.0, 0.38428)","(6930, 137.0, 0.27746)","(7289, 137.0, 0.40472)","(7236, 137.0, 0.55012)","(5788, 137.0, 1.17507)","(1252, 137.0, 0.97081)","(1438, 137.0, 0.99651)","(5833, 137.0, 0.62788)","(7102, 137.0, 0.24145)"
"(3974, 136.0, 0.73589)","(7289, 136.0, 0.40472)","(3974, 136.0, 0.73589)","(3974, 136.0, 0.7358)","(1644, 136.0, 0.54407)","(1644, 136.0, 0.54475)","(1644, 136.0, 0.54407)","(1644, 136.0, 0.54296)","(1541, 136.0, 0.87201)","(7200, 136.0, 0.47575)","(7200, 136.0, 0.47974)","(7200, 136.0, 0.47456)","(3974, 136.0, 0.73351)","(7289, 136.0, 0.40472)","(6823, 136.0, 0.41073)","(1624, 136.0, 0.27263)","(3027, 136.0, 1.23022)","(1624, 136.0, 0.27089)","(6823, 136.0, 0.4115)","(1581, 136.0, 0.64446)","(1581, 136.0, 0.64525)","(6953, 136.0, 0.38227)","(2785, 136.0, 0.3413)","(2866, 136.0, 0.34824)","(3130, 136.0, 0.32309)","(3974, 136.0, 0.73527)","(7289, 136.0, 0.40472)","(3974, 136.0, 0.73589)","(3383, 136.0, 0.42148)","(1624, 136.0, 0.27089)","(7200, 136.0, 0.47974)","(5532, 136.0, 0.31691)","(2011, 136.0, 0.97569)","(6413, 136.0, 0.69497)","(7289, 136.0, 0.40472)","(1624, 136.0, 0.27596)","(6953, 136.0, 0.38377)","(6953, 136.0, 0.38344)","(7200, 136.0, 0.47974)","(3974, 136.0, 0.73527)","(3974, 136.0, 0.73527)","(5833, 136.0, 0.62739)","(6823, 136.0, 0.41376)","(5833, 136.0, 0.62739)","(5833, 136.0, 0.62788)","(1981, 136.0, 1.01096)","(7289, 136.0, 0.40419)","(336, 136.0, 0.74204)","(7289, 136.0, 0.40372)","(5532, 136.0, 0.31691)","(6823, 136.0, 0.41073)","(5655, 136.0, 0.63699)","(3974, 136.0, 0.7358)","(6954, 136.0, 0.32386)","(6954, 136.0, 0.32249)","(6529, 136.0, 0.58019)","(4489, 136.0, 0.39484)","(1541, 136.0, 0.87029)","(1541, 136.0, 0.86967)","(3974, 136.0, 0.73351)","(7289, 136.0, 0.40419)","(1907, 136.0, 1.26521)","(6839, 136.0, 0.51911)","(1644, 136.0, 0.54475)","(6413, 136.0, 0.69497)","(6956, 136.0, 0.29068)","(6502, 136.0, 0.68666)","(1871, 136.0, 0.62904)","(7205, 136.0, 0.30307)","(4154, 136.0, 0.85257)"
"(5833, 135.0, 0.62968)","(1644, 135.0, 0.54475)","(7289, 135.0, 0.40472)","(7289, 135.0, 0.40419)","(7289, 135.0, 0.40372)","(6823, 135.0, 0.41073)","(6823, 135.0, 0.41239)","(6823, 135.0, 0.41376)","(1907, 135.0, 1.26581)","(1644, 135.0, 0.54407)","(1644, 135.0, 0.54296)","(1644, 135.0, 0.54461)","(7289, 135.0, 0.40295)","(3974, 135.0, 0.73589)","(5244, 135.0, 0.2335)","(2798, 135.0, 1.01857)","(1624, 135.0, 0.27596)","(6823, 135.0, 0.4115)","(7205, 135.0, 0.30286)","(1644, 135.0, 0.54407)","(1644, 135.0, 0.54461)","(1541, 135.0, 0.86967)","(6219, 135.0, 0.40494)","(3130, 135.0, 0.32273)","(4818, 135.0, 0.30609)","(99, 135.0, 0.68997)","(5833, 135.0, 0.62968)","(7289, 135.0, 0.40472)","(654, 135.0, 0.73874)","(1907, 135.0, 1.26521)","(1644, 135.0, 0.54296)","(6413, 135.0, 0.69485)","(2798, 135.0, 1.01508)","(2011, 135.0, 0.977)","(1907, 135.0, 1.26581)","(1541, 135.0, 0.86967)","(3974, 135.0, 0.73589)","(3974, 135.0, 0.7358)","(3968, 135.0, 0.29318)","(7289, 135.0, 0.40372)","(5833, 135.0, 0.62739)","(3974, 135.0, 0.73527)","(1624, 135.0, 0.27596)","(1581, 135.0, 0.64446)","(1581, 135.0, 0.64178)","(1541, 135.0, 0.87201)","(3974, 135.0, 0.7358)","(6691, 135.0, 0.35433)","(1541, 135.0, 0.87029)","(1981, 135.0, 1.01096)","(7289, 135.0, 0.40472)","(4154, 135.0, 0.85208)","(7289, 135.0, 0.40419)","(4563, 135.0, 0.3573)","(4563, 135.0, 0.35564)","(6954, 135.0, 0.32341)","(1252, 135.0, 0.97108)","(4489, 135.0, 0.39626)","(4489, 135.0, 0.40108)","(5833, 135.0, 0.62788)","(1581, 135.0, 0.64525)","(1624, 135.0, 0.27089)","(1624, 135.0, 0.27596)","(5833, 135.0, 0.62968)","(7259, 135.0, 0.43128)","(3697, 135.0, 0.88468)","(1581, 135.0, 0.64525)","(1907, 135.0, 1.2643)","(6823, 135.0, 0.41376)","(4828, 135.0, 0.16535)"
"(1581, 134.0, 0.64574)","(1541, 134.0, 0.87201)","(6823, 134.0, 0.41073)","(6823, 134.0, 0.4115)","(1581, 134.0, 0.64446)","(6953, 134.0, 0.38377)","(6953, 134.0, 0.38323)","(6953, 134.0, 0.38227)","(6823, 134.0, 0.41073)","(1581, 134.0, 0.64446)","(1581, 134.0, 0.64178)","(1581, 134.0, 0.64525)","(1541, 134.0, 0.86967)","(1581, 134.0, 0.64574)","(831, 134.0, 0.34724)","(6823, 134.0, 0.41239)","(2798, 134.0, 1.01508)","(5244, 134.0, 0.23384)","(2294, 134.0, 1.47866)","(1541, 134.0, 0.87029)","(1541, 134.0, 0.87139)","(1581, 134.0, 0.64178)","(6420, 134.0, 0.99074)","(4818, 134.0, 0.31021)","(869, 134.0, 0.29506)","(2294, 134.0, 1.47737)","(1541, 134.0, 0.87201)","(1581, 134.0, 0.64574)","(5041, 134.0, 0.39134)","(6823, 134.0, 0.4115)","(1907, 134.0, 1.26423)","(2011, 134.0, 0.9767)","(3873, 134.0, 0.75812)","(2798, 134.0, 1.01979)","(1644, 134.0, 0.54475)","(5833, 134.0, 0.62788)","(1541, 134.0, 0.87201)","(1541, 134.0, 0.87139)","(5833, 134.0, 0.62788)","(1541, 134.0, 0.87029)","(1581, 134.0, 0.64446)","(1541, 134.0, 0.87029)","(1907, 134.0, 1.26423)","(3974, 134.0, 0.73527)","(3974, 134.0, 0.73351)","(6953, 134.0, 0.38377)","(1541, 134.0, 0.87139)","(4067, 134.0, 0.48128)","(3974, 134.0, 0.73527)","(11, 134.0, 1.04908)","(6953, 134.0, 0.38377)","(2306, 134.0, 0.49059)","(5833, 134.0, 0.62864)","(7244, 134.0, 0.95876)","(7244, 134.0, 0.95536)","(4563, 134.0, 0.35731)","(1981, 134.0, 1.01096)","(1252, 134.0, 0.96995)","(1252, 134.0, 0.96754)","(1644, 134.0, 0.54296)","(3559, 134.0, 1.05241)","(6953, 134.0, 0.38344)","(2798, 134.0, 1.01508)","(1541, 134.0, 0.87201)","(7234, 134.0, 0.53883)","(7289, 134.0, 0.40419)","(6854, 134.0, 0.56127)","(3377, 134.0, 0.80837)","(7236, 134.0, 0.54978)","(6767, 134.0, 0.50669)"
"(6823, 133.0, 0.41073)","(1907, 133.0, 1.26581)","(1581, 133.0, 0.64574)","(1581, 133.0, 0.64525)","(6823, 133.0, 0.41239)","(1907, 133.0, 1.26581)","(1907, 133.0, 1.2643)","(1907, 133.0, 1.26423)","(2294, 133.0, 1.4792)","(1541, 133.0, 0.87029)","(1541, 133.0, 0.86967)","(1541, 133.0, 0.87139)","(1581, 133.0, 0.64178)","(1541, 133.0, 0.87201)","(7200, 133.0, 0.47393)","(5244, 133.0, 0.23523)","(6823, 133.0, 0.41376)","(831, 133.0, 0.34749)","(1581, 133.0, 0.64525)","(5833, 133.0, 0.62739)","(5833, 133.0, 0.62864)","(3974, 133.0, 0.73351)","(7297, 133.0, 0.36637)","(869, 133.0, 0.29642)","(6324, 133.0, 0.34095)","(3559, 133.0, 1.0516)","(6823, 133.0, 0.41073)","(6823, 133.0, 0.41073)","(3873, 133.0, 0.75756)","(7289, 133.0, 0.40419)","(5833, 133.0, 0.62788)","(2798, 133.0, 1.02017)","(6823, 133.0, 0.41376)","(3873, 133.0, 0.75755)","(1541, 133.0, 0.87201)","(1581, 133.0, 0.64178)","(1581, 133.0, 0.64574)","(1581, 133.0, 0.64525)","(1907, 133.0, 1.26423)","(1907, 133.0, 1.2643)","(1541, 133.0, 0.87029)","(1581, 133.0, 0.64446)","(1581, 133.0, 0.64178)","(1541, 133.0, 0.87029)","(1541, 133.0, 0.86967)","(6823, 133.0, 0.41073)","(1581, 133.0, 0.64525)","(5629, 133.0, 0.92279)","(6823, 133.0, 0.41239)","(3559, 133.0, 1.05251)","(1581, 133.0, 0.64574)","(3434, 133.0, 0.60338)","(1644, 133.0, 0.54461)","(3968, 133.0, 0.2916)","(3968, 133.0, 0.29318)","(7244, 133.0, 0.95973)","(6823, 133.0, 0.41073)","(1981, 133.0, 1.0099)","(1981, 133.0, 1.00958)","(1907, 133.0, 1.26423)","(1541, 133.0, 0.87139)","(831, 133.0, 0.34749)","(7299, 133.0, 0.94686)","(1581, 133.0, 0.64574)","(5833, 133.0, 0.62864)","(7234, 133.0, 0.53883)","(6462, 133.0, 0.4743)","(6529, 133.0, 0.58094)","(7259, 133.0, 0.42694)","(444, 133.0, 0.28257)"
"(1541, 132.0, 0.87201)","(1581, 132.0, 0.64574)","(1907, 132.0, 1.26581)","(1907, 132.0, 1.26521)","(1907, 132.0, 1.2643)","(1581, 132.0, 0.64574)","(1581, 132.0, 0.64446)","(1581, 132.0, 0.64178)","(1252, 132.0, 0.97108)","(1907, 132.0, 1.2643)","(1907, 132.0, 1.26423)","(1907, 132.0, 1.26521)","(1907, 132.0, 1.26423)","(6823, 132.0, 0.41073)","(11, 132.0, 1.04908)","(831, 132.0, 0.34688)","(5244, 132.0, 0.2373)","(11, 132.0, 1.04905)","(1907, 132.0, 1.26521)","(1907, 132.0, 1.2643)","(1907, 132.0, 1.26521)","(6823, 132.0, 0.41376)","(2760, 132.0, 0.7671)","(6324, 132.0, 0.34597)","(3875, 132.0, 0.48166)","(1981, 132.0, 1.0099)","(1581, 132.0, 0.64574)","(1541, 132.0, 0.87201)","(7265, 132.0, 0.34458)","(1581, 132.0, 0.64525)","(6871, 132.0, 0.56814)","(3873, 132.0, 0.75757)","(6294, 132.0, 1.12092)","(6823, 132.0, 0.4115)","(6823, 132.0, 0.41073)","(6823, 132.0, 0.41376)","(6823, 132.0, 0.41073)","(6823, 132.0, 0.4115)","(2294, 132.0, 1.47529)","(6823, 132.0, 0.41239)","(6823, 132.0, 0.41239)","(6823, 132.0, 0.41239)","(7289, 132.0, 0.40295)","(6823, 132.0, 0.41239)","(6823, 132.0, 0.41376)","(1644, 132.0, 0.54475)","(1907, 132.0, 1.26521)","(2668, 132.0, 0.98844)","(1581, 132.0, 0.64446)","(7200, 132.0, 0.47393)","(1907, 132.0, 1.26581)","(6684, 132.0, 0.4388)","(7259, 132.0, 0.43128)","(6823, 132.0, 0.41239)","(6823, 132.0, 0.41376)","(3968, 132.0, 0.29098)","(7259, 132.0, 0.43142)","(6823, 132.0, 0.41239)","(6823, 132.0, 0.41376)","(1581, 132.0, 0.64178)","(11, 132.0, 1.04905)","(7289, 132.0, 0.40419)","(1779, 132.0, 0.94662)","(6823, 132.0, 0.41073)","(1252, 132.0, 0.97081)","(6413, 132.0, 0.69497)","(5244, 132.0, 0.23384)","(6773, 132.0, 0.46433)","(1981, 132.0, 1.00958)","(386, 132.0, 0.30515)"
