25
userId,correctItems,contexts,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,p16,p17,p18,p19,p20,p21,p22,p23,p24,p25
154,1834;5985;1725;2901;7041;4672;554;5927;530;5294;1937;1180;446;5478;6923;3132;2784;5099;3364;124;2983;6111;427;5973;407;3172;3891;5024;1336;2877,daytime:afternoon,742;25,184;24,270;23,6141;22,54;21,2372;20,95;19,2650;18,1196;17,456;16,974;15,3620;14,905;13,3028;12,1131;11,232;10,136;9,189;8,1685;7,214;6,960;5,646;4,406;3,2894;2,1417;1
210,1157;340;1973;3516;5429;7261;3937;4515;1407;4041;933;2348;63;2506;3078;830;5194;3814;3033;2355;6890;1979;284;605;794;955;2794;1226,daytime:morning,6141;25,95;24,2372;23,267;22,14;21,184;20,742;19,60;18,214;17,974;16,54;15,3620;14,1166;13,406;12,86;11,456;10,71;9,7143;8,1240;7,291;6,84;5,1014;4,132;3,519;2,280;1
210,205;327;3314;697;147;1641;377;5468;3304;4499;1;3643;2359;144;5212;1022;527;8;1980;2486;3069;4486;2888;1034;7034;1061;1321;1499;3149;6865;2093;2968;945;6041;660;148;2213;184;506;1598;1880;6675;3602;3885;189;2085;98;1812;740;3037;3280;280;3632;1195;366;603;1789;3846;3379;5801;2521;2731;905;2417;1959,daytime:night,95;25,2372;24,267;23,1883;22,14;21,184;20,742;19,60;18,1196;17,214;16,1231;15,974;14,54;13,270;12,3620;11,1166;10,406;9,86;8,456;7,71;6,646;5,7143;4,291;3,1014;2,132;1
210,808;4516;882;3170;5592;2927;864;4778;403;6907;5019;4600;1914;1955;931;739;4540;1148;716;575;1057;2827;1929;1563;5332;759;4233;1420;5904;3901;786;547;5255;427;1892;2036;2430;6248;5663;761;6439;3246;2693;935,daytime:afternoon,6141;25,95;24,2372;23,267;22,1883;21,14;20,184;19,60;18,1196;17,214;16,1231;15,270;14,3620;13,1166;12,406;11,86;10,646;9,1240;8,84;7,132;6,519;5,280;4,45;3,430;2,6904;1
2,400;386;3289;1784;6112;1973;1117;797;2123;1236;5055;2043;7026;6838;200;1436;3620;1937;1740;2471;45;222;1929;924;4826;657;1478;622;5576;2387;441;3805;4424;2960;4902;4564;2307;605;3891;1419;1685,daytime:morning,1131;25,270;24,2372;23,974;22,457;21,95;20,84;19,136;18,6141;17,7143;16,168;15,86;14,184;13,1749;12,3575;11,54;10,2650;9,27;8,905;7,2558;6,516;5,2894;4,148;3,3417;2,1417;1
2,2475;3144;3180;2047;3041;51;2771;2819;5407;2947;4836;86;5553;427;1181;4571;1677;3654;1601;1378;1775;6203;48;456;5968;937;945;4452;5612,daytime:evening,1131;25,270;24,2372;23,974;22,457;21,742;20,60;19,136;18,6141;17,7143;16,232;15,168;14,86;13,184;12,1749;11,960;10,284;9,3575;8,1097;7,54;6,2650;5,785;4,905;3,2558;2,516;1
2,680;1136;53;3359;2579;3488;850;691;2372;929;3464;4504;1797;3455;3008;512;54;332;3778;1653;5451;491;2501;2602;3964;5793;5220;4191;1493;1821,daytime:night,270;25,2372;24,974;23,457;22,95;21,742;20,60;19,84;18,136;17,6141;16,7143;15,232;14,86;13,184;12,1749;11,960;10,284;9,3575;8,1097;7,54;6,2650;5,785;4,27;3,905;2,2558;1
2,2948;764;5020;368;3398;795;294;533;1024;2563;3484;3172;1223;2667;3685;4092;3436;2903;543;4607;5011;876,daytime:afternoon,1131;25,270;24,2372;23,974;22,95;21,742;20,60;19,84;18,136;17,7143;16,232;15,168;14,86;13,184;12,1749;11,960;10,284;9,3575;8,1097;7,54;6,2650;5,785;4,27;3,905;2,516;1
109,3953;4906;1550;3041;637;232;3227;4106;818;2799;5886;421;4841;5007;6505;1936;788;5553;4757;3021;3762;6572;1178;5880;160;3920;6900;5265;4235,daytime:morning,3900;25,4620;24,2425;23,5686;22,7100;21,3575;20,769;19,4147;18,604;17,4074;16,5777;15,3618;14,4407;13,4291;12,4997;11,352;10,2365;9,1517;8,5874;7,5577;6,4442;5,1898;4,5997;3,4091;2,5557;1
109,1962;6151;4932;6367;2229;389;6321;3253;2940;604;6864;1473;4865;1562;6924;4877;3789;2201,daytime:evening,3900;25,4620;24,2425;23,5686;22,7100;21,769;20,4147;19,604;18,4074;17,5777;16,3618;15,4407;14,4291;13,4997;12,352;11,2365;10,1517;9,5874;8,5577;7,4442;6,1898;5,5997;4,2514;3,353;2,4091;1
109,6612;2109;7037;3651;2400;5194;6159;7183;4538;6252;5585;929;1729;210;1031;1955;5059;1743;3163,daytime:night,3900;25,4620;24,2425;23,5686;22,3575;21,769;20,4147;19,604;18,4074;17,5777;16,3618;15,4407;14,4291;13,4997;12,352;11,2365;10,1517;9,5874;8,5577;7,4442;6,1898;5,5997;4,2514;3,353;2,4091;1
109,2660;6514;472;3388;481;6369;5806;3384;3;4655;298;4454;71;4782;5359;2827,daytime:afternoon,3900;25,4620;24,2425;23,5686;22,7100;21,3575;20,769;19,4147;18,604;17,4074;16,5777;15,3618;14,4407;13,4291;12,4997;11,352;10,2365;9,1517;8,5874;7,5577;6,4442;5,1898;4,5997;3,2514;2,353;1
128,3734;358;764;3722;53;368;2938;1562;3334;1161;6813;2407;5471;809;6341;3370;657;4826;2690;3415;2303;3364;4842;2630;361;250;1775;2253;946;6588;574;1411;1962;889;5242;6198;797;3266;1043;3;1305;3916;2453;2;2287;2347;2840;6821;383;3857;4966;1195;2254;2362;6213;393;1789;1699;638,daytime:morning,95;25,406;24,1131;23,232;22,270;21,7143;20,184;19,3620;18,54;17,420;16,2894;15,1879;14,2372;13,84;12,27;11,1014;10,2859;9,1936;8,250;7,6141;6,128;5,657;4,456;3,60;2,3770;1
128,1210;2665;3424;389;4249;3244;3630;4653;4660;2490;3774;4265;3852;2870;4378;5159;786;3955;347;1478;5541;2722;6526;4840;4425;2880;1403;1969;5746;670;748;2865;3091,daytime:evening,974;25,95;24,406;23,232;22,270;21,7143;20,457;19,184;18,3620;17,54;16,420;15,2894;14,1879;13,86;12,2372;11,84;10,27;9,1014;8,2859;7,1936;6,250;5,6141;4,128;3,657;2,14;1
128,4387;1805;1555;2414;1851;5795;3299;2932;1078;2246;3678;5821;5632;4041;938;4213;1806;3767;5170;2078;5153;8;2760;1801;3006;5850;54;1139;2983;1966;3346;6013;5921;366;4389;1878;5879;3930;2345;536;3920;717;2871;2608,daytime:night,974;25,95;24,406;23,1131;22,270;21,7143;20,457;19,184;18,3620;17,54;16,420;15,2894;14,1879;13,86;12,2372;11,84;10,27;9,1014;8,2859;7,250;6,6141;5,128;4,657;3,14;2,456;1
128,2649;2691;4572;3369;4965;4846;4462;4858;3328;4967;310;6141;4029;4109;251;113;5734;4384;3360;3327;2403;4659;2709;4910;826;69;3993;5069;1430;5823;4930;2338;4784;1677;6319;860;2336;4120;585;3015;2657;4779;6816,daytime:afternoon,974;25,406;24,1131;23,232;22,7143;21,457;20,54;19,2894;18,1879;17,86;16,84;15,27;14,1936;13,250;12,6141;11,128;10,657;9,14;8,456;7,60;6,3770;5,5973;4,1335;3,905;2,141;1
42,3369;1885;2545;1895;256;1117;5884;2284;2267;1014;5055;5902;2759;1143;936;1813;1772;1436;3040;4818;610;3886;2363;2355;5631;1601;802;2268;48;3352;36;1218;540;6563;10,daytime:morning,184;25,1131;24,2372;23,54;22,6141;21,6801;20,181;19,270;18,2063;17,2031;16,95;15,1242;14,1196;13,974;12,168;11,132;10,905;9,646;8,1685;7,430;6,457;5,284;4,335;3,148;2,6134;1
42,1563;1801;2031;55;245;2970;5661;366;2604;4317;1540;127;3517;2444;6185;456;141;1015;5390;6116;1255,daytime:evening,184;25,742;24,1131;23,2372;22,54;21,6801;20,214;19,181;18,270;17,2063;16,2031;15,95;14,1242;13,1196;12,168;11,132;10,905;9,646;8,1685;7,430;6,457;5,284;4,335;3,6134;2,2650;1
42,102;3008;2051;2686;3037;2927;607;5714;867;427;3359;5100;3478;5516;3112;6036;1459;3268;1868;2290;1987,daytime:night,184;25,742;24,1131;23,2372;22,54;21,6141;20,214;19,181;18,2063;17,2031;16,95;15,1242;14,1196;13,974;12,168;11,132;10,646;9,430;8,457;7,335;6,148;5,6134;4,2650;3,657;2,740;1
42,1494;680;3498;565;1095;1122;2909;5978;762;5537;128;5283;4889;4836;1477;6182;3300;657;2495;7219;602;3054;500;6034;2379;173;761;1419;6177;660;2136;6531,daytime:afternoon,742;25,1131;24,2372;23,54;22,6141;21,6801;20,214;19,270;18,2063;17,2031;16,95;15,1242;14,974;13,168;12,132;11,905;10,1685;9,430;8,284;7,335;6,148;5,6134;4,2650;3,657;2,740;1
25,1250;2760;1962;5372;3939;3392;1557;4618;5134;4805;1736;1480;2348,daytime:morning,4997;25,7100;24,1413;23,2425;22,3900;21,4620;20,4442;19,3508;18,4247;17,5686;16,258;15,4641;14,354;13,604;12,769;11,353;10,4407;9,191;8,2450;7,4852;6,4805;5,1637;4,4363;3,2961;2,5557;1
25,3815;4153;5325;1114;3357;552;1750;7101;3762;4347;3050;508;1431;935,daytime:evening,4997;25,7100;24,1413;23,2425;22,3900;21,2512;20,4620;19,4442;18,3508;17,4247;16,3135;15,5686;14,4641;13,354;12,1898;11,481;10,604;9,769;8,353;7,4407;6,191;5,1222;4,2450;3,4852;2,4805;1
25,4579;2581;59;1936;4062;5193;3721;1696;4930;4691;3214;2449;1473;1856;5295;2799;71;3749;4629;1571,daytime:night,4997;25,1413;24,2425;23,3900;22,2512;21,4620;20,4247;19,3135;18,5686;17,258;16,4641;15,354;14,1898;13,481;12,604;11,769;10,353;9,4407;8,191;7,1222;6,2450;5,4852;4,4805;3,1637;2,2300;1
25,4074;4546;3533;3761;3163;4360;6375,daytime:afternoon,7100;25,2425;24,3900;23,2512;22,4620;21,4442;20,3508;19,4247;18,3135;17,5686;16,258;15,4641;14,354;13,1898;12,481;11,604;10,769;9,353;8,4407;7,1222;6,2450;5,4852;4,4805;3,1637;2,4363;1
99,5849;5295;2853;663;1851;1617;3736;2843;3082,daytime:morning,2445;25,3736;24,2699;23,1139;22,1131;21,2678;20,100;19,293;18,75;17,2591;16,2385;15,4638;14,1993;13,2595;12,4965;11,4467;10,5040;9,591;8,1756;7,3088;6,2354;5,6502;4,3455;3,399;2,923;1
99,596;3389;3417;1095;4807;3088;368;2975;6134;87;3796,daytime:evening,3736;25,2699;24,1139;23,1131;22,2678;21,100;20,293;19,75;18,2591;17,2385;16,4965;15,4467;14,5040;13,591;12,1756;11,3088;10,2354;9,6502;8,3455;7,399;6,923;5,1403;4,4364;3,2505;2,2051;1
99,3347;591;5149;2063;1131;3148;3670;1882,daytime:night,2445;25,3736;24,2699;23,1139;22,1131;21,2678;20,100;19,75;18,2591;17,2385;16,4638;15,1993;14,2595;13,4965;12,4467;11,5040;10,591;9,1756;8,3088;7,2354;6,6502;5,3455;4,399;3,1403;2,3433;1
99,3570;711;2516;4843;4286;1428;3643;4381;2536;3832,daytime:afternoon,2445;25,3736;24,2699;23,1139;22,1131;21,2678;20,293;19,2385;18,4638;17,1993;16,2595;15,4965;14,4467;13,5040;12,591;11,1756;10,3088;9,2354;8,6502;7,3455;6,399;5,923;4,1403;3,3433;2,4364;1
249,1022;2831;2051;1887;6111;5688;2556;4896;3002;3;447;6813;578;388;2180;456;5622;6714;524;1568;4105;404,daytime:morning,6141;25,742;24,270;23,184;22,95;21,267;20,7143;19,1196;18,54;17,2372;16,974;15,2031;14,291;13,3359;12,646;11,214;10,60;9,3620;8,386;7,1365;6,2650;5,1240;4,173;3,406;2,1883;1
249,4613;5160;4522;6288;6272;1874;3807;1647;1166;6069;4661;17;3304;4012;7083;931;270;1726;6523;6269;2250;4722;5477;2461;2820;2591;585;3350;811;6185;974;3238,daytime:evening,6141;25,742;24,270;23,184;22,95;21,267;20,7143;19,1196;18,54;17,2372;16,974;15,2031;14,291;13,284;12,646;11,214;10,60;9,3620;8,386;7,1365;6,2650;5,1240;4,173;3,406;2,1883;1
249,390;3681;477;5014;5156;209;4881;1023;1160;797;429;3191;3330;4236;1826;3709;3776;319;4081;1822;2626;4676,daytime:night,6141;25,742;24,270;23,95;22,267;21,7143;20,1196;19,54;18,2372;17,974;16,2031;15,291;14,284;13,3359;12,646;11,214;10,60;9,3620;8,1365;7,2650;6,1240;5,173;4,406;3,1883;2,179;1
249,1734;119;4637;5267;6989;5021;143;263;4421;5757;496;5589;4095;4725;100;4783;2031;1972;6857;383;4875;180;2740;4963;2457;4123;4;3703;4294;1277;6037;173;1231;3584;2693;457,daytime:afternoon,742;25,270;24,184;23,95;22,267;21,7143;20,54;19,2372;18,974;17,2031;16,284;15,3359;14,646;13,214;12,3620;11,386;10,1365;9,2650;8,173;7,406;6,1883;5,179;4,86;3,14;2,1131;1
298,2159;1331;3763;3463;1667;5710;2874;7076;769;4952;6064,daytime:morning,708;25,2462;24,612;23,2674;22,1986;21,3039;20,3312;19,2669;18,3827;17,4748;16,6534;15,695;14,1055;13,3763;12,318;11,4490;10,65;9,1737;8,3541;7,1216;6,391;5,346;4,437;3,7157;2,3308;1
298,1893;6083;6076;4605;2100;14;6889;1702;4279,daytime:evening,708;25,2462;24,612;23,1986;22,3039;21,3312;20,4748;19,1055;18,3763;17,4490;16,65;15,1737;14,2824;13,1216;12,391;11,346;10,3677;9,7157;8,2964;7,4344;6,673;5,6204;4,6390;3,1038;2,2661;1
298,1986;678;6868,daytime:night,708;25,2462;24,612;23,2674;22,1986;21,3039;20,2669;19,3827;18,6534;17,695;16,1055;15,3763;14,318;13,4490;12,65;11,3541;10,2824;9,391;8,346;7,437;6,3677;5,7157;4,3308;3,4544;2,2964;1
298,1824;2246;5824;3046;3343;474;888;6944,daytime:afternoon,708;25,612;24,2674;23,1986;22,3039;21,3312;20,2669;19,3827;18,4748;17,6534;16,695;15,1055;14,3763;13,318;12,4490;11,65;10,1737;9,3541;8,2824;7,1216;6,391;5,346;4,437;3,3677;2,7157;1
250,1753;2406;5914;1033;30;533;4424;424;3266;333;1803;2497;104;2022;1218;909;319;211;5118,daytime:morning,54;25,2372;24,214;23,95;22,742;21,2063;20,1196;19,974;18,181;17,1131;16,184;15,267;14,646;13,335;12,457;11,430;10,69;9,905;8,2031;7,168;6,60;5,1226;4,2650;3,6801;2,178;1
250,6307;2869;565;1851;1322;505;6052;2003;6770;5019;4827;1636;6291;2772;1765;4861;3831;6541;3653;25;6058;1097;6593;3346;1181;1761;646;6867;3438;6177;2915;2136;2470;543;2693;6235;2046;4595;5784;1194;1142;4687;3249;3521;694;2603;259;5747;6012;4190;3973;1137;4117;3160;981;3358;1450;6647;6639;4606;4829;978;179;1602;677;725;3210;663;339;3075;2082,daytime:evening,2372;25,95;24,270;23,742;22,2063;21,6141;20,1196;19,974;18,132;17,184;16,646;15,335;14,430;13,69;12,905;11,2031;10,168;9,60;8,2650;7,6801;6,178;5,456;4,3943;3,657;2,1685;1
250,1536;400;3212;6841;6265;184;3648;4315;5853;469;3793;4853;5304;2372;118;5074;5095;4508;5208;128;375;3482;4448;2840;1387;402;2486;1005;1424;344;2355;4090;4571;1925;2477;6654;6423;2351;2445;4068;5183;3950,daytime:night,54;25,2372;24,214;23,95;22,270;21,742;20,2063;19,6141;18,132;17,181;16,1131;15,184;14,267;13,646;12,335;11,457;10,430;9,69;8,2031;7,168;6,60;5,1226;4,2650;3,6801;2,284;1
250,705;1141;655;845;4888;399;5516;2918;1248;1843;2116;370;4866;222;518;3348;3260;3890;3016;7013;4683;456;2093;742;148,daytime:afternoon,54;25,2372;24,214;23,95;22,270;21,742;20,2063;19,6141;18,1196;17,974;16,132;15,181;14,1131;13,184;12,267;11,646;10,335;9,457;8,430;7,69;6,905;5,168;4,1226;3,2650;2,6801;1
285,3645;4071;4523;994;3785;2579;3636;4947;5755;1706;3551;4843;3852;2042;708;3370;3121;3622;2544;2931;3739;587;1645;5849;1139;5443;1457;3778;5211;416;3423;4536;4680;6391;5628;4483;3077;2865;3066;1455;2595;4395,daytime:morning,1131;25,923;24,2699;23,399;22,3088;21,2110;20,726;19,2678;18,1756;17,5040;16,7143;15,2595;14,293;13,1102;12,974;11,100;10,2591;9,54;8,6280;7,703;6,368;5,4071;4,2051;3,2505;2,450;1
285,6809;1093;3853;4462;399;134;368;3179;3011;3704;6353;4554;350;4676;6678;1205;3838;3348;3933;6328;4288;96;5495;1029;5277;799;4361;2204;450;5587;3189;842;1882;583,daytime:evening,923;25,2699;24,399;23,2946;22,3088;21,2110;20,420;19,726;18,2678;17,1756;16,7143;15,2595;14,293;13,1102;12,100;11,2591;10,2098;9,54;8,6280;7,703;6,368;5,1403;4,4071;3,2051;2,2505;1
285,3792;386;2412;6352;5800;1177;2894;4521;1996;5584;2590;5521;1086;981;3457;4464;4014;2796;641;714;2165;5866;2279;5438;3082;3407;825;3015;5043;2222;2452;2871;3169,daytime:night,1131;25,923;24,2699;23,399;22,2946;21,3088;20,2110;19,420;18,726;17,2678;16,1756;15,5040;14,7143;13,2595;12,293;11,1102;10,974;9,100;8,2591;7,2098;6,54;5,703;4,368;3,1403;2,4071;1
285,1250;6197;3072;3283;1141;1136;503;3714;5258;440;2616;4032;2531;3844;4160;4421;5821;1368;1617;3643;270;3441;1797;4783;2640;3347;5405;5203;124;1891;2110;1969;3747;6525;1339;1395;2020;80;2994;1362;2720;1533;905;457,daytime:afternoon,1131;25,923;24,2699;23,399;22,2946;21,2110;20,420;19,726;18,2678;17,1756;16,5040;15,7143;14,2595;13,293;12,1102;11,974;10,100;9,2591;8,2098;7,6280;6,703;5,368;4,1403;3,4071;2,2051;1
305,503;5956;1177;4317;3565;6141;1368;5794;110;4378;1187;3078;3489;4290;3881;3930;1775;646;6550;934;755;477;1917;4887;2405;1193;4029;1816;1050;4067;671;2116;4156;2193;7053;3764;4606;3407;4082;4322;1764;1425;3352;2103;5748;4240;1276;6342;2245;4539;1851;3504;2424;2634;5367;2228;3753;3658;1642;3514;809;5589;279;2288;5904;3889;3466;2876;509;6348;2023;1509;3723;2022;394;341;3942;4561;3591;4637;6585;2819;4065;2610;6924;1896;569;423;5681;3487;2085;6895;3264;2980;602;6331;3696;1676;3392;6137;3799;5829;3484;3610;4414;1524;339,daytime:morning,184;25,60;24,6141;23,2372;22,974;21,95;20,406;19,742;18,3620;17,189;16,960;15,14;14,740;13,430;12,942;11,232;10,214;9,1166;8,1883;7,646;6,3;5,1242;4,3028;3,2164;2,270;1
305,666;986;3842;6566;6833;779;266;5113;6885;4650;6899;4105;3754;2465;2406;3455;3508;4005;5601;4706;3346;3295;1554;4519;1656;4425;2526;1778;1669;4134;5271;956;1373;3829;6259;2414;893;867;1694;6091;2205;2704;3973;5407;210;6911;4033;2767;402;2333;3416;3398;3808;2371;5357;5409;381;447;3979;1919;1517;3158;6841;5351;28;3197;5126;4277;4841;1151;4861;5396;610;5212;3245;1710;5085;2476;6525;2639;1583;4618;5986;6127;3648;2738;201;6706;4104;4631;5076;5672;320;3811;4714;2694;1086;5553;4715;4090;5550;6332;458;529;1361;3837;2903;2429,daytime:evening,184;25,60;24,6141;23,2372;22,95;21,406;20,742;19,189;18,14;17,740;16,430;15,942;14,214;13,1166;12,646;11,3;10,1242;9,3028;8,54;7,335;6,456;5,1417;4,1196;3,86;2,45;1
